,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2
7399,2017-1366,32,Graham-PAUL-593,71,9999999, GREAT BRITAIN,0.0,1.0,Laszlo-VADASZ-44966,71,9999999, HUNGARY,0.0,1.0, V/10,  D/5
7400,2017-1366,32,Fabrizio-FILIPPI-8930,72,9999999, ITALY,0.0,0.0,Jan-PATTERSON-9017,71,9999999, USA,1.0,1.0, D/2,  V/10
7401,2017-1366,32,Valeriy-KABASHOV-23431,74,9999999, RUSSIA,0.0,1.0,Giovanni-ABATI-4343,80,9999999, ITALY,1.0,1.0, D/9,  V/10
7402,2017-1366,32,Socrate-ABDOUKADYROV-21281,71,9999999, FRANCE,0.0,1.0,Michio-HAMAZAKI-11278,71,9999999, JAPAN,0.0,1.0, D/5,  V/10
7403,2017-1366,16,Hanns-PRECHTL-33452,75,9999999, GERMANY,0.0,0.0,Jean_Francois-FONTANA-25649,71,9999999, FRANCE,0.0,1.0, V/10,  D/5
7404,2017-1366,16,Paul-HARDEN-44755,72,9999999, GREAT BRITAIN,1.0,1.0,Brian-CAUSTON-3142,73,9999999, GREAT BRITAIN,0.0,1.0, D/6,  V/10
7405,2017-1366,16,Gari-AFTANDILOV-16827,79,9999999, RUSSIA,0.0,1.0,Bakhodir-NAZIROV-32018,77,9999999, UZBEKISTAN,0.0,1.0, V/10,  D/4
7406,2017-1366,16,Eiichi-IDE-4787,71,9999999, JAPAN,0.0,2.0,Thomas-KLEIN-16951,76,9999999, GERMANY,0.0,2.0, V/10,  D/2
7407,2017-1366,16,Salvatore-PEZONE-14323,71,9999999, ITALY,0.0,1.0,Hideyo-MIMATA-27752,71,9999999, JAPAN,1.0,0.0, D/8,  V/10
7408,2017-1366,16,Graham-PAUL-593,71,9999999, GREAT BRITAIN,0.0,1.0,Jan-PATTERSON-9017,71,9999999, USA,1.0,1.0, D/5,  V/10
7409,2017-1366,16,Giovanni-ABATI-4343,80,9999999, ITALY,1.0,1.0,Michio-HAMAZAKI-11278,71,9999999, JAPAN,0.0,1.0, D/2,  V/10
7410,2017-1366,8,Hanns-PRECHTL-33452,75,9999999, GERMANY,0.0,0.0,Brian-CAUSTON-3142,73,9999999, GREAT BRITAIN,0.0,1.0, D/7,  V/10
7411,2017-1366,8,Masashi-NARITA-862,72,9999999, JAPAN,1.0,2.0,Gari-AFTANDILOV-16827,79,9999999, RUSSIA,0.0,1.0, D/4,  V/10
7412,2017-1366,8,Eiichi-IDE-4787,71,9999999, JAPAN,0.0,2.0,Hideyo-MIMATA-27752,71,9999999, JAPAN,1.0,0.0, V/10,  D/2
7413,2017-1366,8,Jan-PATTERSON-9017,71,9999999, USA,1.0,1.0,Michio-HAMAZAKI-11278,71,9999999, JAPAN,0.0,1.0, V/10,  D/6
7414,2017-1366,4,Brian-CAUSTON-3142,73,9999999, GREAT BRITAIN,0.0,1.0,Gari-AFTANDILOV-16827,79,9999999, RUSSIA,0.0,1.0, V/7,  D/6
7415,2017-1366,4,Eiichi-IDE-4787,71,9999999, JAPAN,0.0,2.0,Jan-PATTERSON-9017,71,9999999, USA,1.0,1.0, V/10,  D/9
7416,2017-1366,2,Brian-CAUSTON-3142,73,9999999, GREAT BRITAIN,0.0,1.0,Eiichi-IDE-4787,71,9999999, JAPAN,0.0,2.0, D/7,  V/10
7417,2017-1357,32,Ludmila-CHERNOVA-11394,61,9999999, RUSSIA,0.0,1.0,Julie-SEGGIE-1545,62,9999999, AUSTRALIA,0.0,2.0, V/10,  D/4
7418,2017-1357,32,Tatiana-ZHDANOVA-23430,62,9999999, RUSSIA,0.0,1.0,Adriana-ALBINI-29583,63,9999999, ITALY,0.0,0.0, D/5,  V/10
7419,2017-1357,32,Karin-JANSEN-11314,65,9999999, GERMANY,0.0,0.0,Doris-VON_MURALT-33353,65,564, SWITZERLAND,1.0,2.0, D/8,  V/10
7420,2017-1357,32,Ursula-HINTERSEER-8556,61,9999999, AUSTRIA,0.0,2.0,Brigitte-DELACOUR-11217,66,9999999, FRANCE,0.0,1.0, D/6,  V/10
7421,2017-1357,32,Gianna-CIRILLO-19254,62,9999999, ITALY,0.0,1.0,Liubov-MAYOROVA-23432,70,9999999, RUSSIA,0.0,1.0, V/9,  D/3
7422,2017-1357,32,Anne-VERSCHRAEGE-43727,64,9999999, BELGIUM,0.0,2.0,Yoshimi-MURAYAMA-16924,67,9999999, JAPAN,0.0,0.0, V/10,  D/8
7423,2017-1357,32,Ibolya-HOFFMANN-23305,65,9999999, HUNGARY,0.0,2.0,Ritva_Leena-LEHTONEN-21683,63,600, FINLAND,0.0,2.0, V/10,  D/9
7424,2017-1357,32,Sania-IAKOVLEVA-23426,67,9999999, RUSSIA,0.0,2.0,Elizabeth-KOCAB-29782,66,9999999, USA,0.0,2.0, D/0,  V/10
7425,2017-1357,32,Astrid-KIRCHEIS-19332,63,9999999, GERMANY,0.0,1.0,Joelle_Rosanna-PICCININO-31462,61,9999999, ITALY,0.0,2.0, V/10,  D/4
7426,2017-1357,32,Annabelle-BALLARD-21338,63,9999999, AUSTRALIA,0.0,1.0,Mary-HUANG-29567,62,9999999, USA,0.0,2.0, D/8,  V/10
7427,2017-1357,32,Jane-CLAYTON-19232,64,9999999, GREAT BRITAIN,0.0,1.0,Caryl-OLIVER-23127,66,9999999, GREAT BRITAIN,0.0,2.0, V/8,  D/7
7428,2017-1357,32,Claudie-LOPEZ-45023,62,9999999, FRANCE,0.0,2.0,Annick-MARTIN-8872,66,9999999, FRANCE,0.0,2.0, V/10,  D/9
7429,2017-1357,32,Jennifer-MORRIS-3301,63,9999999, GREAT BRITAIN,0.0,0.0,Sirpa-LUNDGREN-19576,68,9999999, FINLAND,0.0,2.0, V/10,  D/7
7430,2017-1357,32,Cynthia-RUNYON-33320,69,9999999, USA,0.0,2.0,Dagmar-FISCHER-23324,61,9999999, GERMANY,1.0,2.0, D/7,  V/10
7431,2017-1357,32,Tanya-HURLEY-38589,63,9999999, USA,0.0,2.0,Gianna-DELLA_CORTE-23172,61,9999999, ITALY,1.0,2.0, V/5,  D/3
7432,2017-1357,32,Ernone-KOLCZONAY-36409,63,9999999, HUNGARY,0.0,2.0,Corinne-AUBAILLY-2696,63,9999999, FRANCE,1.0,0.0, V/10,  D/9
7433,2017-1357,16,Ludmila-CHERNOVA-11394,61,9999999, RUSSIA,0.0,1.0,Adriana-ALBINI-29583,63,9999999, ITALY,0.0,0.0, V/10,  D/6
7434,2017-1357,16,Doris-VON_MURALT-33353,65,564, SWITZERLAND,1.0,2.0,Brigitte-DELACOUR-11217,66,9999999, FRANCE,0.0,1.0, D/6,  V/8
7435,2017-1357,16,Gianna-CIRILLO-19254,62,9999999, ITALY,0.0,1.0,Anne-VERSCHRAEGE-43727,64,9999999, BELGIUM,0.0,2.0, V/8,  D/7
7436,2017-1357,16,Ibolya-HOFFMANN-23305,65,9999999, HUNGARY,0.0,2.0,Elizabeth-KOCAB-29782,66,9999999, USA,0.0,2.0, V/5,  D/4
7437,2017-1357,16,Astrid-KIRCHEIS-19332,63,9999999, GERMANY,0.0,1.0,Mary-HUANG-29567,62,9999999, USA,0.0,2.0, V/10,  D/7
7438,2017-1357,16,Jane-CLAYTON-19232,64,9999999, GREAT BRITAIN,0.0,1.0,Claudie-LOPEZ-45023,62,9999999, FRANCE,0.0,2.0, V/6,  D/5
7439,2017-1357,16,Jennifer-MORRIS-3301,63,9999999, GREAT BRITAIN,0.0,0.0,Dagmar-FISCHER-23324,61,9999999, GERMANY,1.0,2.0, D/7,  V/8
7440,2017-1357,16,Tanya-HURLEY-38589,63,9999999, USA,0.0,2.0,Ernone-KOLCZONAY-36409,63,9999999, HUNGARY,0.0,2.0, V/10,  D/5
7441,2017-1357,8,Ludmila-CHERNOVA-11394,61,9999999, RUSSIA,0.0,1.0,Brigitte-DELACOUR-11217,66,9999999, FRANCE,0.0,1.0, V/10,  D/9
7442,2017-1357,8,Gianna-CIRILLO-19254,62,9999999, ITALY,0.0,1.0,Ibolya-HOFFMANN-23305,65,9999999, HUNGARY,0.0,2.0, V/10,  D/5
7443,2017-1357,8,Astrid-KIRCHEIS-19332,63,9999999, GERMANY,0.0,1.0,Jane-CLAYTON-19232,64,9999999, GREAT BRITAIN,0.0,1.0, V/10,  D/9
7444,2017-1357,8,Dagmar-FISCHER-23324,61,9999999, GERMANY,1.0,2.0,Tanya-HURLEY-38589,63,9999999, USA,0.0,2.0, V/10,  D/1
7445,2017-1357,4,Ludmila-CHERNOVA-11394,61,9999999, RUSSIA,0.0,1.0,Gianna-CIRILLO-19254,62,9999999, ITALY,0.0,1.0, V/10,  D/8
7446,2017-1357,4,Astrid-KIRCHEIS-19332,63,9999999, GERMANY,0.0,1.0,Dagmar-FISCHER-23324,61,9999999, GERMANY,1.0,2.0, D/9,  V/10
7447,2017-1357,2,Ludmila-CHERNOVA-11394,61,9999999, RUSSIA,0.0,1.0,Dagmar-FISCHER-23324,61,9999999, GERMANY,1.0,2.0, D/4,  V/10
7448,2017-1365,32,Henri-DARRICAU-38590,63,9999999, USA,0.0,1.0,Yasuo-SOEDA-21344,67,9999999, JAPAN,0.0,1.0, D/5,  V/10
7449,2017-1365,32,Richard-PURDIE-20689,69,9999999, AUSTRALIA,0.0,2.0,Koichi-HIRUKAWA-15357,65,9999999, JAPAN,0.0,1.0, V/8,  D/5
7450,2017-1365,32,Francesco-TIBERI-14568,64,9999999, ITALY,1.0,1.0,Thomas-LUTTON-11268,65,9999999, USA,0.0,1.0, D/6,  V/10
7451,2017-1365,32,Titus-FOERSTER-23327,61,9999999, GERMANY,0.0,1.0,Joseph-STREB-9020,66,9999999, USA,0.0,1.0, V/9,  D/3
7452,2017-1365,32,Kenichi-UMEZAWA-35736,61,9999999, JAPAN,1.0,1.0,Attila-EGENI-27603,62,9999999, HUNGARY,0.0,1.0, V/10,  D/3
7453,2017-1365,32,Anthony-BARTLETT-17337,63,9999999, GREAT BRITAIN,0.0,1.0,Imre-SZABO-33568,62,9999999, HUNGARY,0.0,1.0, D/9,  V/10
7454,2017-1365,32,Maurizio-GALVAN-14314,64,9999999, ITALY,0.0,1.0,Dominique-LUY-23293,61,9999999, SWITZERLAND,0.0,1.0, V/10,  D/6
7455,2017-1365,32,Jean_Pierre-MION-16890,65,9999999, FRANCE,0.0,1.0,Philip-LEE-12400,61,9999999, IRELAND,0.0,1.0, D/4,  V/10
7456,2017-1365,32,Bruno-KACHUR-3631,69,9999999, GERMANY,0.0,2.0,Philippe-BENNETT-27911,64,9999999, USA,0.0,1.0, D/5,  V/10
7457,2017-1365,32,Giulio-PAROLI-8933,66,9999999, ITALY,0.0,0.0,Heinrich-BOEHMER-33517,63,9999999, GERMANY,0.0,1.0, V/10,  D/4
7458,2017-1365,32,Paul-WEDGE-36097,64,9999999, GREAT BRITAIN,0.0,1.0,Laszlo-IMREH-4099,65,9999999, HUNGARY,1.0,2.0, V/10,  D/6
7459,2017-1365,32,Stephen-FOX-21295,68,9999999, GREAT BRITAIN,1.0,1.0,Attila-HASSZAN-36412,67,9999999, HUNGARY,0.0,1.0, V/10,  D/7
7460,2017-1365,32,Davide-FERRARIO-21330,62,9999999, ITALY,0.0,1.0,Boris-AGRANOVICH-44839,61,9999999, ISRAEL,1.0,1.0, D/9,  V/10
7461,2017-1365,32,Adrian-LEE-35677,63,9999999, IRELAND,0.0,1.0,Paul_Anthony-LOWEN-21341,66,9999999, GREAT BRITAIN,0.0,1.0, D/3,  V/10
7462,2017-1365,32,Patrick-DELACOUR-44996,66,9999999, FRANCE,0.0,1.0,Mark-BALLARD-14047,65,9999999, CANADA,1.0,2.0, V/10,  D/8
7463,2017-1365,32,Kenichi-HINOSHITA-49,67,9999999, JAPAN,0.0,2.0,Andreas-HRUBESCH-1615,62,9999999, AUSTRIA,0.0,1.0, D/6,  V/10
7464,2017-1365,16,Yasuo-SOEDA-21344,67,9999999, JAPAN,0.0,1.0,Richard-PURDIE-20689,69,9999999, AUSTRALIA,0.0,2.0, V/10,  D/5
7465,2017-1365,16,Thomas-LUTTON-11268,65,9999999, USA,0.0,1.0,Titus-FOERSTER-23327,61,9999999, GERMANY,0.0,1.0, V/10,  D/5
7466,2017-1365,16,Kenichi-UMEZAWA-35736,61,9999999, JAPAN,1.0,1.0,Imre-SZABO-33568,62,9999999, HUNGARY,0.0,1.0, V/10,  D/4
7467,2017-1365,16,Maurizio-GALVAN-14314,64,9999999, ITALY,0.0,1.0,Philip-LEE-12400,61,9999999, IRELAND,0.0,1.0, D/5,  V/10
7468,2017-1365,16,Philippe-BENNETT-27911,64,9999999, USA,0.0,1.0,Giulio-PAROLI-8933,66,9999999, ITALY,0.0,0.0, D/1,  V/10
7469,2017-1365,16,Paul-WEDGE-36097,64,9999999, GREAT BRITAIN,0.0,1.0,Stephen-FOX-21295,68,9999999, GREAT BRITAIN,1.0,1.0, V/10,  D/4
7470,2017-1365,16,Boris-AGRANOVICH-44839,61,9999999, ISRAEL,1.0,1.0,Paul_Anthony-LOWEN-21341,66,9999999, GREAT BRITAIN,0.0,1.0, V/8,  D/6
7471,2017-1365,16,Patrick-DELACOUR-44996,66,9999999, FRANCE,0.0,1.0,Andreas-HRUBESCH-1615,62,9999999, AUSTRIA,0.0,1.0, D/3,  V/10
7472,2017-1365,8,Yasuo-SOEDA-21344,67,9999999, JAPAN,0.0,1.0,Thomas-LUTTON-11268,65,9999999, USA,0.0,1.0, D/7,  V/10
7473,2017-1365,8,Kenichi-UMEZAWA-35736,61,9999999, JAPAN,1.0,1.0,Philip-LEE-12400,61,9999999, IRELAND,0.0,1.0, V/9,  D/4
7474,2017-1365,8,Giulio-PAROLI-8933,66,9999999, ITALY,0.0,0.0,Paul-WEDGE-36097,64,9999999, GREAT BRITAIN,0.0,1.0, D/5,  V/10
7475,2017-1365,8,Boris-AGRANOVICH-44839,61,9999999, ISRAEL,1.0,1.0,Andreas-HRUBESCH-1615,62,9999999, AUSTRIA,0.0,1.0, V/10,  D/4
7476,2017-1365,4,Thomas-LUTTON-11268,65,9999999, USA,0.0,1.0,Kenichi-UMEZAWA-35736,61,9999999, JAPAN,1.0,1.0, D/4,  V/10
7477,2017-1365,4,Paul-WEDGE-36097,64,9999999, GREAT BRITAIN,0.0,1.0,Boris-AGRANOVICH-44839,61,9999999, ISRAEL,1.0,1.0, V/10,  D/8
7478,2017-1365,2,Kenichi-UMEZAWA-35736,61,9999999, JAPAN,1.0,1.0,Paul-WEDGE-36097,64,9999999, GREAT BRITAIN,0.0,1.0, D/5,  V/10
7479,2017-1103,32,Bettina-FICHTEL-41761,52,9999999, GERMANY,0.0,2.0,Fabrizia-ALESSANDRINI-41931,54,9999999, ITALY,0.0,2.0, V/10,  D/4
7480,2017-1103,32,Valerie-ASHER-8780,58,9999999, USA,0.0,2.0,Sarah-OSVATH-1537,55,9999999, AUSTRALIA,0.0,2.0, D/5,  V/10
7481,2017-1103,32,Paula-SOITIALA-11780,55,9999999, FINLAND,0.0,2.0,Kerstin-WARVSTEN-20882,55,588, SWEDEN,1.0,2.0, V/10,  D/3
7482,2017-1103,32,Carola-SCHMID-41716,52,9999999, USA,0.0,2.0,Pia-BJORK-41770,53,9999999, SWEDEN,0.0,2.0, V/10,  D/8
7483,2017-1103,32,Kerstin-WUOPIO-44885,51,9999999, SWEDEN,0.0,2.0,Ingrid-HESKETT-36279,51,514, GREAT BRITAIN,0.0,2.0, V/10,  D/4
7484,2017-1103,32,Margarette-ONIYE-21024,52,502, GREAT BRITAIN,0.0,2.0,Judit-GYIURKAN-39024,53,9999999, HUNGARY,0.0,2.0, D/8,  V/9
7485,2017-1103,32,Bettina-GRAF-44970,51,9999999, GERMANY,0.0,2.0,Isobel-ELLIS-35884,60,9999999, AUSTRALIA,1.0,2.0, V/5,  D/1
7486,2017-1103,32,Nicole-RECHSTEINER_SIDLER-24794,51,9999999, SWITZERLAND,1.0,2.0,Pia-ALBERTSON-38684,53,395, SWEDEN,0.0,2.0, D/5,  V/10
7487,2017-1103,32,Frauke-HOHLBEIN-10346,56,9999999, GERMANY,0.0,2.0,Claudia-COSTA-45033,56,9999999, BRAZIL,0.0,2.0, V/10,  D/4
7488,2017-1103,32,Cristina-FORD-33328,56,9999999, USA,0.0,2.0,Rosa_Maria-CANO_DIOSA-2418,53,9999999, SPAIN,0.0,2.0, D/6,  V/10
7489,2017-1103,32,Pascale-APPAVOUPOULLE-36033,54,9999999, FRANCE,0.0,2.0,Iliana_Diana-BONATO-44821,51,9999999, ITALY,0.0,2.0, D/9,  V/10
7490,2017-1103,32,Arianne-MOSER-38583,53,9999999, SWITZERLAND,0.0,2.0,Leslie-MARX-44751,51,9999999, USA,1.0,2.0, D/1,  V/10
7491,2017-1103,32,Christine-ZOPPKE-20749,52,9999999, GERMANY,1.0,0.0,Christine-TRAN-29475,59,9999999, FRANCE,0.0,2.0, V/10,  D/6
7492,2017-1103,32,Lisa-HUZEL-41766,51,9999999, CANADA,0.0,2.0,Hildegard-STROHMEYER-9461,52,9999999, AUSTRIA,0.0,2.0, D/7,  V/10
7493,2017-1103,32,Claire-DUCHNOWSKI-44991,51,9999999, FRANCE,0.0,2.0,Flaminia-VIOLATI-44822,51,9999999, ITALY,0.0,2.0, D/8,  V/10
7494,2017-1103,32,Ayako-MITSUI-44814,51,9999999, JAPAN,0.0,2.0,Ewa-BOROWA-38799,53,9999999, ITALY,0.0,2.0, D/5,  V/10
7495,2017-1103,16,Bettina-FICHTEL-41761,52,9999999, GERMANY,0.0,2.0,Sarah-OSVATH-1537,55,9999999, AUSTRALIA,0.0,2.0, V/10,  D/9
7496,2017-1103,16,Paula-SOITIALA-11780,55,9999999, FINLAND,0.0,2.0,Carola-SCHMID-41716,52,9999999, USA,0.0,2.0, V/10,  D/6
7497,2017-1103,16,Kerstin-WUOPIO-44885,51,9999999, SWEDEN,0.0,2.0,Judit-GYIURKAN-39024,53,9999999, HUNGARY,0.0,2.0, V/8,  D/7
7498,2017-1103,16,Bettina-GRAF-44970,51,9999999, GERMANY,0.0,2.0,Pia-ALBERTSON-38684,53,395, SWEDEN,0.0,2.0, D/7,  V/10
7499,2017-1103,16,Frauke-HOHLBEIN-10346,56,9999999, GERMANY,0.0,2.0,Rosa_Maria-CANO_DIOSA-2418,53,9999999, SPAIN,0.0,2.0, V/10,  D/5
7500,2017-1103,16,Iliana_Diana-BONATO-44821,51,9999999, ITALY,0.0,2.0,Leslie-MARX-44751,51,9999999, USA,1.0,2.0, D/5,  V/10
7501,2017-1103,16,Christine-ZOPPKE-20749,52,9999999, GERMANY,1.0,0.0,Hildegard-STROHMEYER-9461,52,9999999, AUSTRIA,0.0,2.0, D/7,  V/10
7502,2017-1103,16,Flaminia-VIOLATI-44822,51,9999999, ITALY,0.0,2.0,Ewa-BOROWA-38799,53,9999999, ITALY,0.0,2.0, D/6,  V/10
7503,2017-1103,8,Bettina-FICHTEL-41761,52,9999999, GERMANY,0.0,2.0,Paula-SOITIALA-11780,55,9999999, FINLAND,0.0,2.0, V/10,  D/9
7504,2017-1103,8,Kerstin-WUOPIO-44885,51,9999999, SWEDEN,0.0,2.0,Pia-ALBERTSON-38684,53,395, SWEDEN,0.0,2.0, D/6,  V/10
7505,2017-1103,8,Frauke-HOHLBEIN-10346,56,9999999, GERMANY,0.0,2.0,Leslie-MARX-44751,51,9999999, USA,1.0,2.0, D/6,  V/10
7506,2017-1103,8,Hildegard-STROHMEYER-9461,52,9999999, AUSTRIA,0.0,2.0,Ewa-BOROWA-38799,53,9999999, ITALY,0.0,2.0, D/9,  V/10
7507,2017-1103,4,Bettina-FICHTEL-41761,52,9999999, GERMANY,0.0,2.0,Pia-ALBERTSON-38684,53,395, SWEDEN,0.0,2.0, D/7,  V/9
7508,2017-1103,4,Leslie-MARX-44751,51,9999999, USA,1.0,2.0,Ewa-BOROWA-38799,53,9999999, ITALY,0.0,2.0, V/7,  D/6
7509,2017-1103,2,Pia-ALBERTSON-38684,53,395, SWEDEN,0.0,2.0,Leslie-MARX-44751,51,9999999, USA,1.0,2.0, D/5,  V/10
7510,2017-1091,32,FERRARI-Marta-15411,29,54, ITALY,0.0,2.0,STAHLBERG-Nadine-28521,23,143, GERMANY,0.0,2.0, D/12,  V/15
7511,2017-1091,32,MIHALY-Kata-19595,28,142, HUNGARY,0.0,2.0,KIM-Myoungsun-26282,29,9999999, KOREA,0.0,2.0, D/11,  V/15
7512,2017-1091,32,MARZANI-Roberta-28741,22,97, ITALY,1.0,2.0,VAN_BRUMMEN-Anna-26304,24,211, USA,0.0,2.0, V/15,  D/14
7513,2017-1091,32,BUECH-Kim_Jasmin-29773,23,288, SWITZERLAND,1.0,2.0,CLERICI-Alice-29962,22,66, ITALY,0.0,2.0, V/15,  D/12
7514,2017-1091,32,LINDE-Asa-29653,21,107, SWEDEN,0.0,2.0,BALAGANSKAYA-Ulyana-28698,25,87, KAZAKHSTAN,0.0,2.0, V/15,  D/12
7515,2017-1091,32,STAEHLI-Laura-17514,27,23, SWITZERLAND,0.0,2.0,KHRAPINA-Violetta-27238,24,91, RUSSIA,1.0,2.0, V/15,  D/14
7516,2017-1091,32,SWATOWSKA-Martyna-25947,24,144, POLAND,1.0,2.0,BEZHURA-Dzhoan_Feybi-21484,27,39, UKRAINE,0.0,2.0, V/15,  D/14
7517,2017-1091,32,ZAMACHOWSKA-Aleksandra-29878,23,50, POLAND,0.0,2.0,SHIRAISHI-Eri-42370,23,9999999, JAPAN,0.0,2.0, V/15,  D/11
7518,2017-1091,32,CHOI-Hyojoo-27301,25,136, KOREA,0.0,2.0,PYTKA-Kamila-25928,24,130, POLAND,1.0,2.0, D/8,  V/15
7519,2017-1091,32,FOIETTA-Nicol-28629,23,82, ITALY,0.0,2.0,LIN-Yik_Hei_Coco-28847,23,48, HONG KONG,0.0,2.0, V/11,  D/8
7520,2017-1091,32,SONG-Sera-33038,25,266, KOREA,1.0,2.0,BRUNNER-Pauline-26244,24,58, SWITZERLAND,1.0,2.0, V/15,  D/9
7521,2017-1091,32,TAURIAINEN-Sofia-27351,21,332, FINLAND,0.0,2.0,SCHMIDL-Paula-28728,22,125, AUSTRIA,0.0,2.0, D/7,  V/15
7522,2017-1091,32,OKHOTNIKOVA-Irina-35103,21,134, RUSSIA,0.0,2.0,NIXON-Catherine-30485,21,67, USA,1.0,2.0, D/12,  V/15
7523,2017-1091,32,POCHKALOVA-Anfisa-15351,28,46, UKRAINE,0.0,2.0,PANTELYEYEVA-Kseniya-22831,24,51, UKRAINE,0.0,2.0, D/11,  V/15
7524,2017-1091,32,WANG-Yufen-39297,25,309, CHINA,0.0,2.0,CANDASSAMY-Marie_Florence-20179,27,30, FRANCE,0.0,2.0, D/8,  V/15
7525,2017-1091,32,YU-Danwoo-40542,22,9999999, KOREA,1.0,2.0,EPEE-Laurence-19968,28,17, FRANCE,0.0,2.0, V/15,  D/13
7526,2017-1091,16,STAHLBERG-Nadine-28521,23,143, GERMANY,0.0,2.0,KIM-Myoungsun-26282,29,9999999, KOREA,0.0,2.0, D/9,  V/15
7527,2017-1091,16,MARZANI-Roberta-28741,22,97, ITALY,1.0,2.0,BUECH-Kim_Jasmin-29773,23,288, SWITZERLAND,1.0,2.0, V/15,  D/8
7528,2017-1091,16,LINDE-Asa-29653,21,107, SWEDEN,0.0,2.0,STAEHLI-Laura-17514,27,23, SWITZERLAND,0.0,2.0, V/15,  D/10
7529,2017-1091,16,SWATOWSKA-Martyna-25947,24,144, POLAND,1.0,2.0,ZAMACHOWSKA-Aleksandra-29878,23,50, POLAND,0.0,2.0, D/7,  V/15
7530,2017-1091,16,PYTKA-Kamila-25928,24,130, POLAND,1.0,2.0,FOIETTA-Nicol-28629,23,82, ITALY,0.0,2.0, V/9,  D/7
7531,2017-1091,16,SONG-Sera-33038,25,266, KOREA,1.0,2.0,SCHMIDL-Paula-28728,22,125, AUSTRIA,0.0,2.0, V/15,  D/12
7532,2017-1091,16,NIXON-Catherine-30485,21,67, USA,1.0,2.0,PANTELYEYEVA-Kseniya-22831,24,51, UKRAINE,0.0,2.0, D/9,  V/15
7533,2017-1091,16,CANDASSAMY-Marie_Florence-20179,27,30, FRANCE,0.0,2.0,YU-Danwoo-40542,22,9999999, KOREA,1.0,2.0, D/5,  V/15
7534,2017-1091,8,KIM-Myoungsun-26282,29,9999999, KOREA,0.0,2.0,MARZANI-Roberta-28741,22,97, ITALY,1.0,2.0, D/8,  V/15
7535,2017-1091,8,LINDE-Asa-29653,21,107, SWEDEN,0.0,2.0,ZAMACHOWSKA-Aleksandra-29878,23,50, POLAND,0.0,2.0, D/5,  V/15
7536,2017-1091,8,PYTKA-Kamila-25928,24,130, POLAND,1.0,2.0,SONG-Sera-33038,25,266, KOREA,1.0,2.0, V/9,  D/8
7537,2017-1091,8,PANTELYEYEVA-Kseniya-22831,24,51, UKRAINE,0.0,2.0,YU-Danwoo-40542,22,9999999, KOREA,1.0,2.0, V/15,  D/9
7538,2017-1091,4,MARZANI-Roberta-28741,22,97, ITALY,1.0,2.0,ZAMACHOWSKA-Aleksandra-29878,23,50, POLAND,0.0,2.0, D/10,  V/15
7539,2017-1091,4,PYTKA-Kamila-25928,24,130, POLAND,1.0,2.0,PANTELYEYEVA-Kseniya-22831,24,51, UKRAINE,0.0,2.0, V/14,  D/13
7540,2017-1091,2,ZAMACHOWSKA-Aleksandra-29878,23,50, POLAND,0.0,2.0,PYTKA-Kamila-25928,24,130, POLAND,1.0,2.0, V/15,  D/8
7541,2017-1096,32,METRYKA-Karol-33383,21,175, USA,1.0,0.0,FOTOUHI-Mohammad-18673,28,128, IRAN,0.0,0.0, D/13,  V/15
7542,2017-1096,32,NATANZON-Benjamin-32636,21,54, USA,0.0,0.0,BARLOY-Edward-20556,28,190, FRANCE,0.0,0.0, D/7,  V/15
7543,2017-1096,32,KOSTENKO-Anatoliy-37867,20,91, RUSSIA,1.0,0.0,SENEGAS-Remi-28801,24,140, FRANCE,0.0,0.0, V/15,  D/9
7544,2017-1096,32,ANNIC-Edern-28759,23,134, FRANCE,0.0,0.0,STREETS-Kaito-29396,24,72, JAPAN,0.0,0.0, D/14,  V/15
7545,2017-1096,32,ROMANO-Lorenzo-22150,28,259, ITALY,0.0,0.0,BURNEV-Lyuboslav-24275,24,192, BULGARIA,0.0,0.0, V/15,  D/7
7546,2017-1096,32,KIM-Junho-36999,24,18, KOREA,0.0,0.0,LOW-Ho_Tin-18728,26,86, HONG KONG,0.0,0.0, V/15,  D/8
7547,2017-1096,32,YILDIRIM-Enver-26872,23,55, TURKEY,0.0,0.0,GRZEGOREK-Mikolaj-28293,24,143, POLAND,0.0,0.0, V/15,  D/8
7548,2017-1096,32,TSAP-Yuriy-22832,26,110, UKRAINE,0.0,0.0,PAKDAMAN-Ali-22252,28,13, IRAN,0.0,0.0, V/15,  D/12
7549,2017-1096,32,CAVALIERE-Dario-32262,21,43, ITALY,0.0,0.0,SOUDERS-Peter-21560,28,206, USA,0.0,0.0, D/14,  V/15
7550,2017-1096,32,PATRICE-Jean_Philippe-32390,21,125, FRANCE,0.0,0.0,GLADKOV-Andrey-38820,21,598, RUSSIA,1.0,0.0, V/14,  D/13
7551,2017-1096,32,PECH-Miklos-32711,22,131, HUNGARY,1.0,0.0,BAHER_ARESBARAN-Farzad-22599,25,98, IRAN,0.0,0.0, D/11,  V/15
7552,2017-1096,32,PUY-Sebestyen-17966,27,269, HUNGARY,0.0,0.0,RAHBARI-Mohammad-26708,27,69, IRAN,0.0,0.0, D/9,  V/15
