,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2
94,2019-393,32,Nelli-LADANYI-34497,20,369, HUNGARY,0.0,2.0,Kristina-YASINSKAYA-33673,20,322, RUSSIA,1.0,2.0, V/15,  D/14
95,2019-393,32,Alena-KOMAROVA-26764,22,89, RUSSIA,1.0,2.0,Sophia-WEITBRECHT-32172,21,299, GERMANY,1.0,2.0, V/15,  D/12
96,2019-393,32,Inna-BROVKO-29945,21,103, UKRAINE,1.0,2.0,Bianca-BENEA-32982,19,297, ROMANIA,0.0,2.0, D/2,  V/6
97,2019-393,32,Anastasia-KORNEEVA-31148,23,261, RUSSIA,0.0,2.0,Vanessa-RIEDMUELLER-32168,21,208, GERMANY,0.0,2.0, D/12,  V/15
98,2019-393,32,Raluca_Cristina-SBARCIA-17455,29,88, ROMANIA,0.0,2.0,Lyubov-SHUTOVA-5839,35,212, RUSSIA,0.0,2.0, V/15,  D/14
99,2019-393,32,Irina-OKHOTNIKOVA-35103,21,134, RUSSIA,0.0,2.0,Kamila-PYTKA-25928,24,130, POLAND,1.0,2.0, D/12,  V/13
100,2019-393,32,Valeria-CSONKA-38783,22,379, HUNGARY,0.0,2.0,Dorina-BUDAI-19630,26,43, HUNGARY,0.0,2.0, D/8,  V/15
101,2019-393,32,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA,0.0,2.0,Anna-KUN-31836,23,69, HUNGARY,0.0,2.0, V/15,  D/14
102,2019-393,32,Julia-MORAWIETZ-25012,25,433, GERMANY,0.0,2.0,Sarolta-OHLMULLER-30101,22,367, HUNGARY,0.0,2.0, D/11,  V/15
103,2019-393,32,Violetta-KOLOBOVA-18949,27,16, RUSSIA,0.0,2.0,Ginevra-ROATO-32442,22,426, ITALY,0.0,2.0, V/15,  D/3
104,2019-393,16,Katrina-LEHIS-24108,24,9, ESTONIA,1.0,2.0,Eszter-MUHARI-42192,16,275, HUNGARY,1.0,2.0, V/15,  D/7
105,2019-393,16,Kristina-KUUSK-2611,33,25, ESTONIA,0.0,2.0,Olga-LUKIANOVA-17600,30,77, RUSSIA,0.0,2.0, D/8,  V/15
106,2019-393,16,Kata-MIHALY-19595,28,142, HUNGARY,0.0,2.0,Nelli-LADANYI-34497,20,369, HUNGARY,0.0,2.0, V/15,  D/3
107,2019-393,16,Alena-KOMAROVA-26764,22,89, RUSSIA,1.0,2.0,Bianca-BENEA-32982,19,297, ROMANIA,0.0,2.0, V/15,  D/11
108,2019-393,16,Raluca_Cristina-SBARCIA-17455,29,88, ROMANIA,0.0,2.0,Kamila-PYTKA-25928,24,130, POLAND,1.0,2.0, V/15,  D/14
109,2019-393,16,Dorina-BUDAI-19630,26,43, HUNGARY,0.0,2.0,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA,0.0,2.0, D/7,  V/15
110,2019-393,16,Sarolta-OHLMULLER-30101,22,367, HUNGARY,0.0,2.0,Violetta-KOLOBOVA-18949,27,16, RUSSIA,0.0,2.0, D/12,  V/15
111,2019-393,8,Katrina-LEHIS-24108,24,9, ESTONIA,1.0,2.0,Olga-LUKIANOVA-17600,30,77, RUSSIA,0.0,2.0, V/15,  D/11
