,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
5621,Sandra-SKOBLOV-39227,17,354, ESTONIA, Left, Epée 
5624,Sangmin-KIM-19030,32,243, KOREA, Right, Epée 
5627,Sangyoung-PARK-31102,23,3, KOREA, Right, Epée 
5628,Sania-IAKOVLEVA-23426,67,9999999, RUSSIA, Right, Epée 
5629,Sanjar-ALIMOV-37557,19,555, UZBEKISTAN, Left, Epée 
5630,Sanjarbek-SOBIROB-45401,19,509, UZBEKISTAN, Right, Epée 
5631,Sanne-GARS-13701,29,9999999, SWEDEN, Right, Epée 
5634,Santiago-JURADO_SOSSA-40304,20,9999999, COLOMBIA, Right, Epée 
5637,Santosh_Singh-NONGTHOMBAM-46642,23,294, INDIA, Right, Epée 
5638,Saoud-ALATAWI-40184,18,9999999, BAHRAIN, Right, Epée 
5641,Sara-BILLI-36272,20,9999999, ITALY, Right, Epée 
5645,Sara-DE_ALTI-25014,24,9999999, ITALY, Right, Epée 
5647,Sara-FERNANDEZ_CALLEJA-26147,25,131, SPAIN, Right, Epée 
5648,Sara-PYTKA-39181,23,478, POLAND, Left, Epée 
5649,Sara-SALMINEN-31495,21,762, FINLAND, Right, Epée 
5650,Sara-SZOKE-35840,20,9999999, HUNGARY, Right, Epée 
5654,Sara_Maria-KOWALCZYK-43182,17,9999999, ITALY, Right, Epée 
5657,Sarah-DUFFY_LAWRENCE-25757,72,9999999, USA, Right, Epée 
5659,Sarah-JALLOT-32820,21,9999999, FRANCE, Right, Epée 
5662,Sarah-OSVATH-1537,55,9999999, AUSTRALIA, Right, Epée 
5663,Sarah_Eve-LORD-46440,22,9999999, CANADA, Left, Epée 
5664,Sarah_Florence-NGO_NTAT_SARAH-45637,37,116, CAMEROON, Right, Epée 
5666,Sarah_Schremmer-LARSEN-41951,20,407, DENMARK, Right, Epée 
5668,Sari-KOJO-28067,50,502, FINLAND, Right, Epée 
5670,Sarolta-OHLMULLER-30101,22,367, HUNGARY, Right, Epée 
5673,Satoru-UYAMA-28712,27,51, JAPAN, Right, Epée 
5674,Satya-GUNPUT-26558,27,113, MAURITIUS, Right, Epée 
5676,Savitoz-CHILANA-42485,17,9999999, USA, Right, Epée 
5678,Scarlett-PICART-42928,19,9999999, CHILE, Right, Epée 
5679,Scott_Henry-WILLIS-31713,27,9999999, GREAT BRITAIN, Right, Epée 
5680,Sean-AMELI-29620,58,9999999, USA, Left, Epée 
5683,Sean-WILSON-33394,19,9999999, USA, Right, Epée 
5691,Sebastian-MAJGIER-26905,23,9999999, POLAND, Right, Epée 
5696,Sebastian_Ploug-AAGAARD-23740,30,9999999, DENMARK, Right, Epée 
5699,Sebastien-FONTANNAZ-28791,26,848, SWITZERLAND, Right, Epée 
5701,Seckou-TOUNKARA-22934,30,133, SENEGAL, Right, Epée 
5702,Seda-DEGER-19803,28,9999999, TURKEY, Right, Epée 
5703,Sedef_Sara-BAYDAR-45216,18,9999999, TURKEY, Right, Epée 
5704,Segeon-MA-29229,24,9999999, KOREA, Left, Epée 
5706,Sehwa-HONG-40552,18,9999999, KOREA, Right, Epée 
5707,Seija-POLKKO-26119,71,9999999, FINLAND, Right, Epée 
5711,Seiya-ASAMI-43432,16,9999999, JAPAN, Right, Epée 
5712,Sello_Given-MADUMA-20669,31,9999999, SOUTH AFRICA, Right, Epée 
5713,Selma-MUSTONEN-30517,22,403, FINLAND, Right, Epée 
5721,Seoyeon-JANG-37843,22,9999999, KOREA, Right, Epée 
5724,Seppo-LAUHIO-7795,71,9999999, FINLAND, Right, Epée 
5727,Sera-SONG-33038,25,266, KOREA, Left, Epée 
5728,Seraphim-HSIEH_JAROV-38686,17,908, CANADA, Right, Epée 
5733,Sergei-MELNIKOV-30915,54,9999999, ESTONIA, Left, Epée 
5735,Sergej-RUDENKO-22378,44,9999999, UKRAINE, Right, Epée 
5736,Sergey-AKENTYEV-31031,24,9999999, KAZAKHSTAN, Right, Epée 
5738,Sergey-BIDA-23681,25,57, RUSSIA, Left, Epée 
5739,Sergey-BOGDANOV-36825,37,1073, TAJIKISTAN, Right, Epée 
5740,Sergey-Bida-23681,25,57, RUSSIA, Left, Epée 
5741,Sergey-CHESNOKOV-36870,22,9999999, RUSSIA, Right, Epée 
5742,Sergey-KHODOS-13869,32,22, RUSSIA, Right, Epée 
5744,Sergey-Khodos-13869,32,22, RUSSIA, Right, Epée 
5746,Sergey-LOSEVSKIY-31494,35,9999999, RUSSIA, Right, Epée 
