CompetitionID, Tableu, Competitor1, Competitor2, ResultCompetitor1, ResultCompetitor2
2019-176, 16, /fencers/Georgiy-BRUEV-35105/, /fencers/Vladimir-CHICHEV-38587/, V/15, D/10
2019-176, 16, /fencers/Jesus_Andres-LUGONES_RUGGERI-28887/, /fencers/Mateusz-ANTKIEWICZ-26906/, V/15, D/12
2019-176, 8, /fencers/Sergey-KHODOS-13869/, /fencers/Alan-FARDZINOV-31152/, V/15, D/11
2019-176, 8, /fencers/Anton-GLEBKO-17758/, /fencers/Sergey-BIDA-23681/, V/15, D/12
2019-176, 8, /fencers/Josef-MAHRINGER-32473/, /fencers/Lucian-CIOVICA-24274/, V/15, D/10
2019-176, 8, /fencers/Georgiy-BRUEV-35105/, /fencers/Jesus_Andres-LUGONES_RUGGERI-28887/, D/11, V/15
2019-176, 4, /fencers/Sergey-KHODOS-13869/, /fencers/Anton-GLEBKO-17758/, V/15, D/14
2019-176, 4, /fencers/Josef-MAHRINGER-32473/, /fencers/Jesus_Andres-LUGONES_RUGGERI-28887/, D/13, V/15
2019-176, 2, /fencers/Sergey-KHODOS-13869/, /fencers/Jesus_Andres-LUGONES_RUGGERI-28887/, V/15, D/13
2019-1330, 32, /fencers/Alexander-CHOUPENITCH-21765/, /fencers/Daniel-GIACON-38932/, V/15, D/7
2019-1330, 32, /fencers/Andrej-KRALIK-14734/, /fencers/Ben-PEGGS-17227/, D/4, V/15
2019-1330, 32, /fencers/Ryohei-NOGUCHI-28714/, /fencers/Gabor-BELLOVICZ-35180/, D/10, V/15
2019-1330, 32, /fencers/Lorenzo-NISTA-21729/, /fencers/Seishiro-FUNAMOTO-24407/, V/15, D/12
2019-1330, 32, /fencers/Dominic-DE_ALMEIDA-36836/, /fencers/Mark-PERELMANN-25831/, V/15, D/14
2019-1330, 32, /fencers/Dirk_Jan-VAN_EGMOND-26369/, /fencers/Stef-VAN_CAMPENHOUT-37860/, D/12, V/15
2019-1330, 32, /fencers/Stephen-BROWN-35887/, /fencers/Daniel-DOSA-29031/, D/6, V/15
2019-1330, 32, /fencers/Yaser-MOHAMMAD-15925/, /fencers/Keith-COOK-9641/, D/14, V/15
2019-1330, 32, /fencers/Filippo-GUERRA-24155/, /fencers/Yat_Long-LEE-35446/, V/15, D/10
2019-1330, 32, /fencers/Husayn-ROSOWSKY-14698/, /fencers/Balint-MATYAS-28212/, V/15, D/7
2019-1330, 32, /fencers/Tom-GOMBOS-38991/, /fencers/James-BROSNAN-28218/, D/6, V/15
2019-1330, 32, /fencers/Stef-DE_GREEF-35143/, /fencers/Daniel-KISS-32825/, D/14, V/15
2019-1330, 32, /fencers/Daiki-FUJINO-12713/, /fencers/Marek-TOTUSEK-40947/, V/15, D/5
2019-1330, 32, /fencers/Tamas-LISZKAI-29935/, /fencers/Suguru-AWAJI-13412/, D/10, V/15
2019-1330, 32, /fencers/Augusto_Antonio-SERVELLO-32232/, /fencers/Tevfik_Burak-BABAOGLU-20910/, V/15, D/9
2019-1330, 32, /fencers/Alessandro-GRIDELLI-32041/, /fencers/Martino-MINUTO-12216/, D/5, V/15
2019-1330, 16, /fencers/Alexander-CHOUPENITCH-21765/, /fencers/Ben-PEGGS-17227/, V/15, D/3
2019-1330, 16, /fencers/Gabor-BELLOVICZ-35180/, /fencers/Lorenzo-NISTA-21729/, D/11, V/15
2019-1330, 16, /fencers/Dominic-DE_ALMEIDA-36836/, /fencers/Stef-VAN_CAMPENHOUT-37860/, D/11, V/15
2019-1330, 16, /fencers/Daniel-DOSA-29031/, /fencers/Keith-COOK-9641/, V/15, D/9
2019-1330, 16, /fencers/Filippo-GUERRA-24155/, /fencers/Husayn-ROSOWSKY-14698/, V/15, D/10
2019-1330, 16, /fencers/James-BROSNAN-28218/, /fencers/Daniel-KISS-32825/, D/9, V/15
2019-1330, 16, /fencers/Daiki-FUJINO-12713/, /fencers/Suguru-AWAJI-13412/, V/15, D/12
2019-1330, 16, /fencers/Augusto_Antonio-SERVELLO-32232/, /fencers/Martino-MINUTO-12216/, D/10, V/15
2019-1330, 8, /fencers/Alexander-CHOUPENITCH-21765/, /fencers/Lorenzo-NISTA-21729/, V/15, D/6
2019-1330, 8, /fencers/Stef-VAN_CAMPENHOUT-37860/, /fencers/Daniel-DOSA-29031/, V/15, D/11
2019-1330, 8, /fencers/Filippo-GUERRA-24155/, /fencers/Daniel-KISS-32825/, V/15, D/9
2019-1330, 8, /fencers/Daiki-FUJINO-12713/, /fencers/Martino-MINUTO-12216/, D/6, V/15
2019-1330, 4, /fencers/Alexander-CHOUPENITCH-21765/, /fencers/Stef-VAN_CAMPENHOUT-37860/, V/15, D/6
2019-1330, 4, /fencers/Filippo-GUERRA-24155/, /fencers/Martino-MINUTO-12216/, D/8, V/15
2019-1330, 2, /fencers/Alexander-CHOUPENITCH-21765/, /fencers/Martino-MINUTO-12216/, V/15, D/14
2019-393, 32, /fencers/Katrina-LEHIS-24108/, /fencers/Julia-BELJAJEVA-20450/, V/8, D/5
2019-393, 32, /fencers/Eszter-MUHARI-42192/, /fencers/Laura-SZABO-28317/, V/15, D/11
2019-393, 32, /fencers/Kristina-KUUSK-2611/, /fencers/Tik_Lam_Debbie-HO-32966/, V/9, D/5
