,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2,WINNER
61,2019-1330,32,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC, Right, Foil ,Daniel-GIACON-38932,18,103, NETHERLANDS, Right, Foil , V/15,  D/7,0
62,2019-1330,32,Ryohei-NOGUCHI-28714,22,264, JAPAN, Right, Foil ,Gabor-BELLOVICZ-35180,20,385, HUNGARY, Right, Foil , D/10,  V/15,1
63,2019-1330,32,Lorenzo-NISTA-21729,25,63, ITALY, Right, Foil ,Seishiro-FUNAMOTO-24407,25,389, JAPAN, Right, Foil , V/15,  D/12,0
64,2019-1330,32,Dominic-DE_ALMEIDA-36836,19,292, GREAT BRITAIN, Right, Foil ,Mark-PERELMANN-25831,24,323, ISRAEL, Right, Foil , V/15,  D/14,0
65,2019-1330,32,Dirk_Jan-VAN_EGMOND-26369,25,321, NETHERLANDS, Right, Foil ,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM, Left, Foil , D/12,  V/15,1
66,2019-1330,32,Stephen-BROWN-35887,22,194, IRELAND, Left, Foil ,Daniel-DOSA-29031,22,53, HUNGARY, Left, Foil , D/6,  V/15,1
67,2019-1330,32,Filippo-GUERRA-24155,25,191, ITALY, Right, Foil ,Yat_Long-LEE-35446,18,277, HONG KONG, Left, Foil , V/15,  D/10,0
68,2019-1330,32,Husayn-ROSOWSKY-14698,27,276, GREAT BRITAIN, Right, Foil ,Balint-MATYAS-28212,25,293, HUNGARY, Right, Foil , V/15,  D/7,0
69,2019-1330,32,Tom-GOMBOS-38991,20,445, GERMANY, Right, Foil ,James-BROSNAN-28218,24,381, IRELAND, Left, Foil , D/6,  V/15,1
70,2019-1330,32,Stef-DE_GREEF-35143,21,134, BELGIUM, Left, Foil ,Daniel-KISS-32825,20,283, HUNGARY, Right, Foil , D/14,  V/15,1
71,2019-1330,32,Daiki-FUJINO-12713,31,131, JAPAN, Right, Foil ,Marek-TOTUSEK-40947,16,432, CZECH REPUBLIC, Right, Foil , V/15,  D/5,0
72,2019-1330,32,Tamas-LISZKAI-29935,23,327, HUNGARY, Right, Foil ,Suguru-AWAJI-13412,29,306, JAPAN, Left, Foil , D/10,  V/15,1
73,2019-1330,32,Augusto_Antonio-SERVELLO-32232,19,106, ARGENTINA, Left, Foil ,Tevfik_Burak-BABAOGLU-20910,25,322, TURKEY, Right, Foil , V/15,  D/9,0
74,2019-1330,32,Alessandro-GRIDELLI-32041,21,427, ITALY, Right, Foil ,Martino-MINUTO-12216,30,31, TURKEY, Right, Foil , D/5,  V/15,1
75,2019-1330,16,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC, Right, Foil ,Ben-PEGGS-17227,28,88, GREAT BRITAIN, Right, Foil , V/15,  D/3,0
76,2019-1330,16,Gabor-BELLOVICZ-35180,20,385, HUNGARY, Right, Foil ,Lorenzo-NISTA-21729,25,63, ITALY, Right, Foil , D/11,  V/15,1
77,2019-1330,16,Dominic-DE_ALMEIDA-36836,19,292, GREAT BRITAIN, Right, Foil ,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM, Left, Foil , D/11,  V/15,1
78,2019-1330,16,Filippo-GUERRA-24155,25,191, ITALY, Right, Foil ,Husayn-ROSOWSKY-14698,27,276, GREAT BRITAIN, Right, Foil , V/15,  D/10,0
79,2019-1330,16,James-BROSNAN-28218,24,381, IRELAND, Left, Foil ,Daniel-KISS-32825,20,283, HUNGARY, Right, Foil , D/9,  V/15,1
80,2019-1330,16,Daiki-FUJINO-12713,31,131, JAPAN, Right, Foil ,Suguru-AWAJI-13412,29,306, JAPAN, Left, Foil , V/15,  D/12,0
81,2019-1330,16,Augusto_Antonio-SERVELLO-32232,19,106, ARGENTINA, Left, Foil ,Martino-MINUTO-12216,30,31, TURKEY, Right, Foil , D/10,  V/15,1
82,2019-1330,8,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC, Right, Foil ,Lorenzo-NISTA-21729,25,63, ITALY, Right, Foil , V/15,  D/6,0
83,2019-1330,8,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM, Left, Foil ,Daniel-DOSA-29031,22,53, HUNGARY, Left, Foil , V/15,  D/11,0
84,2019-1330,8,Filippo-GUERRA-24155,25,191, ITALY, Right, Foil ,Daniel-KISS-32825,20,283, HUNGARY, Right, Foil , V/15,  D/9,0
85,2019-1330,8,Daiki-FUJINO-12713,31,131, JAPAN, Right, Foil ,Martino-MINUTO-12216,30,31, TURKEY, Right, Foil , D/6,  V/15,1
86,2019-1330,4,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC, Right, Foil ,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM, Left, Foil , V/15,  D/6,0
87,2019-1330,4,Filippo-GUERRA-24155,25,191, ITALY, Right, Foil ,Martino-MINUTO-12216,30,31, TURKEY, Right, Foil , D/8,  V/15,1
88,2019-1330,2,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC, Right, Foil ,Martino-MINUTO-12216,30,31, TURKEY, Right, Foil , V/15,  D/14,0
89,2019-393,32,Katrina-LEHIS-24108,24,9, ESTONIA, Left, Epée ,Julia-BELJAJEVA-20450,26,28, ESTONIA, Right, Epée , V/8,  D/5,0
90,2019-393,32,Eszter-MUHARI-42192,16,275, HUNGARY, Left, Epée ,Laura-SZABO-28317,25,394, HUNGARY, Right, Epée , V/15,  D/11,0
91,2019-393,32,Kristina-KUUSK-2611,33,25, ESTONIA, Right, Epée ,Tik_Lam_Debbie-HO-32966,21,437, HONG KONG, Right, Epée , V/9,  D/5,0
92,2019-393,32,Lis-ROTTLER_FAUTSCH-9667,31,105, LUXEMBOURG, Left, Epée ,Olga-LUKIANOVA-17600,30,77, RUSSIA, Right, Epée , D/12,  V/15,1
93,2019-393,32,Kata-MIHALY-19595,28,142, HUNGARY, Right, Epée ,Reka-SZABO-26222,23,95, HUNGARY, Left, Epée , V/15,  D/14,0
94,2019-393,32,Nelli-LADANYI-34497,20,369, HUNGARY, Right, Epée ,Kristina-YASINSKAYA-33673,20,322, RUSSIA, Left, Epée , V/15,  D/14,0
95,2019-393,32,Alena-KOMAROVA-26764,22,89, RUSSIA, Left, Epée ,Sophia-WEITBRECHT-32172,21,299, GERMANY, Left, Epée , V/15,  D/12,0
96,2019-393,32,Inna-BROVKO-29945,21,103, UKRAINE, Left, Epée ,Bianca-BENEA-32982,19,297, ROMANIA, Right, Epée , D/2,  V/6,1
97,2019-393,32,Anastasia-KORNEEVA-31148,23,261, RUSSIA, Right, Epée ,Vanessa-RIEDMUELLER-32168,21,208, GERMANY, Right, Epée , D/12,  V/15,1
98,2019-393,32,Raluca_Cristina-SBARCIA-17455,29,88, ROMANIA, Right, Epée ,Lyubov-SHUTOVA-5839,35,212, RUSSIA, Right, Epée , V/15,  D/14,0
99,2019-393,32,Irina-OKHOTNIKOVA-35103,21,134, RUSSIA, Right, Epée ,Kamila-PYTKA-25928,24,130, POLAND, Left, Epée , D/12,  V/13,1
100,2019-393,32,Valeria-CSONKA-38783,22,379, HUNGARY, Right, Epée ,Dorina-BUDAI-19630,26,43, HUNGARY, Right, Epée , D/8,  V/15,1
101,2019-393,32,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA, Right, Epée ,Anna-KUN-31836,23,69, HUNGARY, Right, Epée , V/15,  D/14,0
102,2019-393,32,Julia-MORAWIETZ-25012,25,433, GERMANY, Right, Epée ,Sarolta-OHLMULLER-30101,22,367, HUNGARY, Right, Epée , D/11,  V/15,1
103,2019-393,32,Violetta-KOLOBOVA-18949,27,16, RUSSIA, Right, Epée ,Ginevra-ROATO-32442,22,426, ITALY, Right, Epée , V/15,  D/3,0
104,2019-393,16,Katrina-LEHIS-24108,24,9, ESTONIA, Left, Epée ,Eszter-MUHARI-42192,16,275, HUNGARY, Left, Epée , V/15,  D/7,0
105,2019-393,16,Kristina-KUUSK-2611,33,25, ESTONIA, Right, Epée ,Olga-LUKIANOVA-17600,30,77, RUSSIA, Right, Epée , D/8,  V/15,1
106,2019-393,16,Kata-MIHALY-19595,28,142, HUNGARY, Right, Epée ,Nelli-LADANYI-34497,20,369, HUNGARY, Right, Epée , V/15,  D/3,0
107,2019-393,16,Alena-KOMAROVA-26764,22,89, RUSSIA, Left, Epée ,Bianca-BENEA-32982,19,297, ROMANIA, Right, Epée , V/15,  D/11,0
108,2019-393,16,Raluca_Cristina-SBARCIA-17455,29,88, ROMANIA, Right, Epée ,Kamila-PYTKA-25928,24,130, POLAND, Left, Epée , V/15,  D/14,0
109,2019-393,16,Dorina-BUDAI-19630,26,43, HUNGARY, Right, Epée ,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA, Right, Epée , D/7,  V/15,1
110,2019-393,16,Sarolta-OHLMULLER-30101,22,367, HUNGARY, Right, Epée ,Violetta-KOLOBOVA-18949,27,16, RUSSIA, Right, Epée , D/12,  V/15,1
111,2019-393,8,Katrina-LEHIS-24108,24,9, ESTONIA, Left, Epée ,Olga-LUKIANOVA-17600,30,77, RUSSIA, Right, Epée , V/15,  D/11,0
112,2019-393,8,Kata-MIHALY-19595,28,142, HUNGARY, Right, Epée ,Alena-KOMAROVA-26764,22,89, RUSSIA, Left, Epée , V/15,  D/13,0
113,2019-393,8,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA, Right, Epée ,Violetta-KOLOBOVA-18949,27,16, RUSSIA, Right, Epée , V/15,  D/12,0
114,2019-393,4,Katrina-LEHIS-24108,24,9, ESTONIA, Left, Epée ,Kata-MIHALY-19595,28,142, HUNGARY, Right, Epée , V/15,  D/8,0
115,2019-393,4,Raluca_Cristina-SBARCIA-17455,29,88, ROMANIA, Right, Epée ,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA, Right, Epée , D/10,  V/15,1
116,2019-393,2,Katrina-LEHIS-24108,24,9, ESTONIA, Left, Epée ,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA, Right, Epée , V/15,  D/5,0
117,2019-186,32,David-NOTZON-34880,23,337, SWITZERLAND, Right, Sabre ,Francesco-DARMIENTO-24278,24,119, ITALY, Right, Sabre , D/9,  V/15,1
118,2019-186,32,Philip-PITURA-31841,22,318, CANADA, Right, Sabre ,Braden-VACCARI-47350,17,361, USA, Right, Sabre , V/15,  D/3,0
119,2019-186,32,Max-REIMER-16785,28,363, AUSTRIA, Right, Sabre ,Grant-WILLIAMS-34354,22,148, USA, Left, Sabre , D/9,  V/15,1
120,2019-186,32,Brynmor-SAUNDERS-31317,24,210, GREAT BRITAIN, Right, Sabre ,Franklin_Ernir-KRISTJANSSON-41555,16,372, ICELAND, Right, Sabre , V/15,  D/13,0
121,2019-186,32,Michalis-KIRIMLIDIS-37461,32,334, IRELAND, Right, Sabre ,Michael-JACOB-41413,26,326, IRELAND, Right, Sabre , D/10,  V/15,1
122,2019-186,32,Amir-RAHIMI-27146,37,335, GREAT BRITAIN, Right, Sabre ,Nicolaus-BENEDICT-39013,18,288, AUSTRIA, Right, Sabre , D/14,  V/15,1
123,2019-186,32,Emil_Isleifur-SUMARLIDASON-29386,22,375, ICELAND, Right, Sabre ,Andri_Nikolaysson-MATEEV-34580,18,315, ICELAND, Right, Sabre , D/9,  V/15,1
124,2019-186,32,Shaul-GORDON-25917,24,24, CANADA, Right, Sabre ,Gunnar_Egill-AGUSTSSON-21217,26,379, ICELAND, Right, Sabre , V/15,  D/6,0
125,2019-186,32,Andrew-RICHARDSON-45984,19,346, PUERTO RICO, Left, Sabre ,Zachary-HAMILTON-40727,19,305, GREAT BRITAIN, Right, Sabre , D/9,  V/15,1
126,2019-186,32,Josip-BRAJDIC-32600,22,324, CROATIA, Right, Sabre ,Charles-GELLETT-42112,22,341, GREAT BRITAIN, Right, Sabre , V/15,  D/14,0
127,2019-186,32,Kjartan_Oli-AGUSTSSON-41557,16,371, ICELAND, Right, Sabre ,Mateusz-KNEZ-33850,21,282, POLAND, Right, Sabre , D/9,  V/15,1
128,2019-186,32,Jakub-JASKOT-30035,23,200, POLAND, Right, Sabre ,Konstantin-BONFELD-40398,40,366, ISRAEL, Right, Sabre , V/15,  D/3,0
129,2019-186,32,Magnus-DE_WITT-45731,30,358, GERMANY, Right, Sabre ,Teddy-WELLER-15297,29,78, VIRGIN ISLANDS, Right, Sabre , D/9,  V/15,1
130,2019-186,32,Jonah-SHAINBERG-30258,22,176, USA, Right, Sabre ,Jadryn-DICK-32713,23,306, AUSTRALIA, Right, Sabre , V/15,  D/9,0
131,2019-186,32,Hilmar-HEIDDAL-41556,16,379, ICELAND, Right, Sabre ,Alberto-ARPINO-35850,20,189, ITALY, Right, Sabre , D/4,  V/15,1
132,2019-186,16,Stefano_Ivan-LUCCHETTI-29223,21,53, ARGENTINA, Right, Sabre ,Francesco-DARMIENTO-24278,24,119, ITALY, Right, Sabre , V/15,  D/7,0
133,2019-186,16,Philip-PITURA-31841,22,318, CANADA, Right, Sabre ,Grant-WILLIAMS-34354,22,148, USA, Left, Sabre , D/14,  V/15,1
134,2019-186,16,Brynmor-SAUNDERS-31317,24,210, GREAT BRITAIN, Right, Sabre ,Michael-JACOB-41413,26,326, IRELAND, Right, Sabre , V/15,  D/6,0
135,2019-186,16,Nicolaus-BENEDICT-39013,18,288, AUSTRIA, Right, Sabre ,Andri_Nikolaysson-MATEEV-34580,18,315, ICELAND, Right, Sabre , V/15,  D/13,0
136,2019-186,16,Shaul-GORDON-25917,24,24, CANADA, Right, Sabre ,Zachary-HAMILTON-40727,19,305, GREAT BRITAIN, Right, Sabre , V/15,  D/5,0
137,2019-186,16,Josip-BRAJDIC-32600,22,324, CROATIA, Right, Sabre ,Mateusz-KNEZ-33850,21,282, POLAND, Right, Sabre , D/9,  V/15,1
138,2019-186,16,Jakub-JASKOT-30035,23,200, POLAND, Right, Sabre ,Teddy-WELLER-15297,29,78, VIRGIN ISLANDS, Right, Sabre , V/15,  D/6,0
139,2019-186,16,Jonah-SHAINBERG-30258,22,176, USA, Right, Sabre ,Alberto-ARPINO-35850,20,189, ITALY, Right, Sabre , V/15,  D/10,0
