,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2,WINNER
7385,2017-1358,4,Marja_Liisa_Tuulikki-SOMEROJA-2680,72,9999999, FINLAND, Right, Epée ,Marie_Chantal-DEMAILLE-11202,77,9999999, FRANCE, Left, Sabre , D/4,  V/10,1
7386,2017-1358,4,Coraine-SOPRU-164,71,9999999, AUSTRALIA, Right, Foil ,Erica-JULIEN-41630,73,9999999, USA, Left, Epée , V/10,  D/6,0
7387,2017-1358,2,Marie_Chantal-DEMAILLE-11202,77,9999999, FRANCE, Left, Sabre ,Coraine-SOPRU-164,71,9999999, AUSTRALIA, Right, Foil , V/10,  D/5,0
7388,2017-1366,32,Hanns-PRECHTL-33452,75,9999999, GERMANY, Right, Sabre ,Victor-BERTHET-27765,73,9999999, FRANCE, Right, Foil , V/10,  D/6,0
7389,2017-1366,32,Peter-ASKJAER_FRIIS-23163,71,9999999, DENMARK, Right, Epée ,Jean_Francois-FONTANA-25649,71,9999999, FRANCE, Right, Foil , D/5,  V/6,1
7390,2017-1366,32,Paul-HARDEN-44755,72,9999999, GREAT BRITAIN, Left, Foil ,Slobodan-GACESA-25121,75,9999999, CROATIA, Right, Foil , V/10,  D/5,0
7391,2017-1366,32,Hans-VISSER-3869,83,9999999, GERMANY, Right, Foil ,Brian-CAUSTON-3142,73,9999999, GREAT BRITAIN, Right, Foil , D/3,  V/10,1
7392,2017-1366,32,Masashi-NARITA-862,72,9999999, JAPAN, Left, Epée ,Duane-CHAN-44882,71,9999999, USA, Right, Foil , V/10,  D/5,0
7393,2017-1366,32,Rinaldo-CAMPANA-19292,72,9999999, USA, Right, Foil ,Gari-AFTANDILOV-16827,79,9999999, RUSSIA, Right, Foil , D/4,  V/10,1
7394,2017-1366,32,Bakhodir-NAZIROV-32018,77,9999999, UZBEKISTAN, Right, Foil ,Renzo-BOISCO-5933,75,9999999, SWITZERLAND, Right, Epée , V/10,  D/6,0
7395,2017-1366,32,Eiichi-IDE-4787,71,9999999, JAPAN, Right, Epée ,Walter-MAIER-14411,78,9999999, AUSTRIA, Right, Foil , V/9,  D/3,0
7396,2017-1366,32,Thomas-KLEIN-16951,76,9999999, GERMANY, Right, Epée ,Ray_L_-SEXTON_III-6711,75,9999999, USA, Right, Foil , V/10,  D/3,0
7397,2017-1366,32,Salvatore-PEZONE-14323,71,9999999, ITALY, Right, Foil ,Julio_Felix-RUBIO-11288,74,9999999, SPAIN, Right, Foil , V/10,  D/1,0
7398,2017-1366,32,Josef-POSCHARNIG-8444,77,9999999, AUSTRIA, Right, Foil ,Hideyo-MIMATA-27752,71,9999999, JAPAN, Left, Sabre , D/2,  V/10,1
7399,2017-1366,32,Graham-PAUL-593,71,9999999, GREAT BRITAIN, Right, Foil ,Laszlo-VADASZ-44966,71,9999999, HUNGARY, Right, Foil , V/10,  D/5,0
7400,2017-1366,32,Fabrizio-FILIPPI-8930,72,9999999, ITALY, Right, Sabre ,Jan-PATTERSON-9017,71,9999999, USA, Left, Foil , D/2,  V/10,1
7401,2017-1366,32,Valeriy-KABASHOV-23431,74,9999999, RUSSIA, Right, Foil ,Giovanni-ABATI-4343,80,9999999, ITALY, Left, Foil , D/9,  V/10,1
7402,2017-1366,32,Socrate-ABDOUKADYROV-21281,71,9999999, FRANCE, Right, Foil ,Michio-HAMAZAKI-11278,71,9999999, JAPAN, Right, Foil , D/5,  V/10,1
7403,2017-1366,16,Hanns-PRECHTL-33452,75,9999999, GERMANY, Right, Sabre ,Jean_Francois-FONTANA-25649,71,9999999, FRANCE, Right, Foil , V/10,  D/5,0
7404,2017-1366,16,Paul-HARDEN-44755,72,9999999, GREAT BRITAIN, Left, Foil ,Brian-CAUSTON-3142,73,9999999, GREAT BRITAIN, Right, Foil , D/6,  V/10,1
7405,2017-1366,16,Gari-AFTANDILOV-16827,79,9999999, RUSSIA, Right, Foil ,Bakhodir-NAZIROV-32018,77,9999999, UZBEKISTAN, Right, Foil , V/10,  D/4,0
7406,2017-1366,16,Eiichi-IDE-4787,71,9999999, JAPAN, Right, Epée ,Thomas-KLEIN-16951,76,9999999, GERMANY, Right, Epée , V/10,  D/2,0
7407,2017-1366,16,Salvatore-PEZONE-14323,71,9999999, ITALY, Right, Foil ,Hideyo-MIMATA-27752,71,9999999, JAPAN, Left, Sabre , D/8,  V/10,1
7408,2017-1366,16,Graham-PAUL-593,71,9999999, GREAT BRITAIN, Right, Foil ,Jan-PATTERSON-9017,71,9999999, USA, Left, Foil , D/5,  V/10,1
7409,2017-1366,16,Giovanni-ABATI-4343,80,9999999, ITALY, Left, Foil ,Michio-HAMAZAKI-11278,71,9999999, JAPAN, Right, Foil , D/2,  V/10,1
7410,2017-1366,8,Hanns-PRECHTL-33452,75,9999999, GERMANY, Right, Sabre ,Brian-CAUSTON-3142,73,9999999, GREAT BRITAIN, Right, Foil , D/7,  V/10,1
7411,2017-1366,8,Masashi-NARITA-862,72,9999999, JAPAN, Left, Epée ,Gari-AFTANDILOV-16827,79,9999999, RUSSIA, Right, Foil , D/4,  V/10,1
7412,2017-1366,8,Eiichi-IDE-4787,71,9999999, JAPAN, Right, Epée ,Hideyo-MIMATA-27752,71,9999999, JAPAN, Left, Sabre , V/10,  D/2,0
7413,2017-1366,8,Jan-PATTERSON-9017,71,9999999, USA, Left, Foil ,Michio-HAMAZAKI-11278,71,9999999, JAPAN, Right, Foil , V/10,  D/6,0
7414,2017-1366,4,Brian-CAUSTON-3142,73,9999999, GREAT BRITAIN, Right, Foil ,Gari-AFTANDILOV-16827,79,9999999, RUSSIA, Right, Foil , V/7,  D/6,0
7415,2017-1366,4,Eiichi-IDE-4787,71,9999999, JAPAN, Right, Epée ,Jan-PATTERSON-9017,71,9999999, USA, Left, Foil , V/10,  D/9,0
7416,2017-1366,2,Brian-CAUSTON-3142,73,9999999, GREAT BRITAIN, Right, Foil ,Eiichi-IDE-4787,71,9999999, JAPAN, Right, Epée , D/7,  V/10,1
7417,2017-1357,32,Ludmila-CHERNOVA-11394,61,9999999, RUSSIA, Right, Foil ,Julie-SEGGIE-1545,62,9999999, AUSTRALIA, Right, Epée , V/10,  D/4,0
7418,2017-1357,32,Tatiana-ZHDANOVA-23430,62,9999999, RUSSIA, Right, Foil ,Adriana-ALBINI-29583,63,9999999, ITALY, Right, Sabre , D/5,  V/10,1
7419,2017-1357,32,Karin-JANSEN-11314,65,9999999, GERMANY, Right, Sabre ,Doris-VON_MURALT-33353,65,564, SWITZERLAND, Left, Epée , D/8,  V/10,1
7420,2017-1357,32,Ursula-HINTERSEER-8556,61,9999999, AUSTRIA, Right, Epée ,Brigitte-DELACOUR-11217,66,9999999, FRANCE, Right, Foil , D/6,  V/10,1
7421,2017-1357,32,Gianna-CIRILLO-19254,62,9999999, ITALY, Right, Foil ,Liubov-MAYOROVA-23432,70,9999999, RUSSIA, Right, Foil , V/9,  D/3,0
7422,2017-1357,32,Anne-VERSCHRAEGE-43727,64,9999999, BELGIUM, Right, Epée ,Yoshimi-MURAYAMA-16924,67,9999999, JAPAN, Right, Sabre , V/10,  D/8,0
7423,2017-1357,32,Ibolya-HOFFMANN-23305,65,9999999, HUNGARY, Right, Epée ,Ritva_Leena-LEHTONEN-21683,63,600, FINLAND, Right, Epée , V/10,  D/9,0
7424,2017-1357,32,Sania-IAKOVLEVA-23426,67,9999999, RUSSIA, Right, Epée ,Elizabeth-KOCAB-29782,66,9999999, USA, Right, Epée , D/0,  V/10,1
7425,2017-1357,32,Astrid-KIRCHEIS-19332,63,9999999, GERMANY, Right, Foil ,Joelle_Rosanna-PICCININO-31462,61,9999999, ITALY, Right, Epée , V/10,  D/4,0
7426,2017-1357,32,Annabelle-BALLARD-21338,63,9999999, AUSTRALIA, Right, Foil ,Mary-HUANG-29567,62,9999999, USA, Right, Epée , D/8,  V/10,1
7427,2017-1357,32,Jane-CLAYTON-19232,64,9999999, GREAT BRITAIN, Right, Foil ,Caryl-OLIVER-23127,66,9999999, GREAT BRITAIN, Right, Epée , V/8,  D/7,0
7428,2017-1357,32,Claudie-LOPEZ-45023,62,9999999, FRANCE, Right, Epée ,Annick-MARTIN-8872,66,9999999, FRANCE, Right, Epée , V/10,  D/9,0
7429,2017-1357,32,Jennifer-MORRIS-3301,63,9999999, GREAT BRITAIN, Right, Sabre ,Sirpa-LUNDGREN-19576,68,9999999, FINLAND, Right, Epée , V/10,  D/7,0
7430,2017-1357,32,Cynthia-RUNYON-33320,69,9999999, USA, Right, Epée ,Dagmar-FISCHER-23324,61,9999999, GERMANY, Left, Epée , D/7,  V/10,1
7431,2017-1357,32,Tanya-HURLEY-38589,63,9999999, USA, Right, Epée ,Gianna-DELLA_CORTE-23172,61,9999999, ITALY, Left, Epée , V/5,  D/3,0
7432,2017-1357,32,Ernone-KOLCZONAY-36409,63,9999999, HUNGARY, Right, Epée ,Corinne-AUBAILLY-2696,63,9999999, FRANCE, Left, Sabre , V/10,  D/9,0
7433,2017-1357,16,Ludmila-CHERNOVA-11394,61,9999999, RUSSIA, Right, Foil ,Adriana-ALBINI-29583,63,9999999, ITALY, Right, Sabre , V/10,  D/6,0
7434,2017-1357,16,Doris-VON_MURALT-33353,65,564, SWITZERLAND, Left, Epée ,Brigitte-DELACOUR-11217,66,9999999, FRANCE, Right, Foil , D/6,  V/8,1
7435,2017-1357,16,Gianna-CIRILLO-19254,62,9999999, ITALY, Right, Foil ,Anne-VERSCHRAEGE-43727,64,9999999, BELGIUM, Right, Epée , V/8,  D/7,0
7436,2017-1357,16,Ibolya-HOFFMANN-23305,65,9999999, HUNGARY, Right, Epée ,Elizabeth-KOCAB-29782,66,9999999, USA, Right, Epée , V/5,  D/4,0
7437,2017-1357,16,Astrid-KIRCHEIS-19332,63,9999999, GERMANY, Right, Foil ,Mary-HUANG-29567,62,9999999, USA, Right, Epée , V/10,  D/7,0
7438,2017-1357,16,Jane-CLAYTON-19232,64,9999999, GREAT BRITAIN, Right, Foil ,Claudie-LOPEZ-45023,62,9999999, FRANCE, Right, Epée , V/6,  D/5,0
7439,2017-1357,16,Jennifer-MORRIS-3301,63,9999999, GREAT BRITAIN, Right, Sabre ,Dagmar-FISCHER-23324,61,9999999, GERMANY, Left, Epée , D/7,  V/8,1
7440,2017-1357,16,Tanya-HURLEY-38589,63,9999999, USA, Right, Epée ,Ernone-KOLCZONAY-36409,63,9999999, HUNGARY, Right, Epée , V/10,  D/5,0
7441,2017-1357,8,Ludmila-CHERNOVA-11394,61,9999999, RUSSIA, Right, Foil ,Brigitte-DELACOUR-11217,66,9999999, FRANCE, Right, Foil , V/10,  D/9,0
7442,2017-1357,8,Gianna-CIRILLO-19254,62,9999999, ITALY, Right, Foil ,Ibolya-HOFFMANN-23305,65,9999999, HUNGARY, Right, Epée , V/10,  D/5,0
7443,2017-1357,8,Astrid-KIRCHEIS-19332,63,9999999, GERMANY, Right, Foil ,Jane-CLAYTON-19232,64,9999999, GREAT BRITAIN, Right, Foil , V/10,  D/9,0
7444,2017-1357,8,Dagmar-FISCHER-23324,61,9999999, GERMANY, Left, Epée ,Tanya-HURLEY-38589,63,9999999, USA, Right, Epée , V/10,  D/1,0
7445,2017-1357,4,Ludmila-CHERNOVA-11394,61,9999999, RUSSIA, Right, Foil ,Gianna-CIRILLO-19254,62,9999999, ITALY, Right, Foil , V/10,  D/8,0
7446,2017-1357,4,Astrid-KIRCHEIS-19332,63,9999999, GERMANY, Right, Foil ,Dagmar-FISCHER-23324,61,9999999, GERMANY, Left, Epée , D/9,  V/10,1
7447,2017-1357,2,Ludmila-CHERNOVA-11394,61,9999999, RUSSIA, Right, Foil ,Dagmar-FISCHER-23324,61,9999999, GERMANY, Left, Epée , D/4,  V/10,1
7448,2017-1365,32,Henri-DARRICAU-38590,63,9999999, USA, Right, Foil ,Yasuo-SOEDA-21344,67,9999999, JAPAN, Right, Foil , D/5,  V/10,1
7449,2017-1365,32,Richard-PURDIE-20689,69,9999999, AUSTRALIA, Right, Epée ,Koichi-HIRUKAWA-15357,65,9999999, JAPAN, Right, Foil , V/8,  D/5,0
7450,2017-1365,32,Francesco-TIBERI-14568,64,9999999, ITALY, Left, Foil ,Thomas-LUTTON-11268,65,9999999, USA, Right, Foil , D/6,  V/10,1
7451,2017-1365,32,Titus-FOERSTER-23327,61,9999999, GERMANY, Right, Foil ,Joseph-STREB-9020,66,9999999, USA, Right, Foil , V/9,  D/3,0
7452,2017-1365,32,Kenichi-UMEZAWA-35736,61,9999999, JAPAN, Left, Foil ,Attila-EGENI-27603,62,9999999, HUNGARY, Right, Foil , V/10,  D/3,0
7453,2017-1365,32,Anthony-BARTLETT-17337,63,9999999, GREAT BRITAIN, Right, Foil ,Imre-SZABO-33568,62,9999999, HUNGARY, Right, Foil , D/9,  V/10,1
7454,2017-1365,32,Maurizio-GALVAN-14314,64,9999999, ITALY, Right, Foil ,Dominique-LUY-23293,61,9999999, SWITZERLAND, Right, Foil , V/10,  D/6,0
7455,2017-1365,32,Jean_Pierre-MION-16890,65,9999999, FRANCE, Right, Foil ,Philip-LEE-12400,61,9999999, IRELAND, Right, Foil , D/4,  V/10,1
7456,2017-1365,32,Bruno-KACHUR-3631,69,9999999, GERMANY, Right, Epée ,Philippe-BENNETT-27911,64,9999999, USA, Right, Foil , D/5,  V/10,1
7457,2017-1365,32,Giulio-PAROLI-8933,66,9999999, ITALY, Right, Sabre ,Heinrich-BOEHMER-33517,63,9999999, GERMANY, Right, Foil , V/10,  D/4,0
7458,2017-1365,32,Paul-WEDGE-36097,64,9999999, GREAT BRITAIN, Right, Foil ,Laszlo-IMREH-4099,65,9999999, HUNGARY, Left, Epée , V/10,  D/6,0
7459,2017-1365,32,Stephen-FOX-21295,68,9999999, GREAT BRITAIN, Left, Foil ,Attila-HASSZAN-36412,67,9999999, HUNGARY, Right, Foil , V/10,  D/7,0
7460,2017-1365,32,Davide-FERRARIO-21330,62,9999999, ITALY, Right, Foil ,Boris-AGRANOVICH-44839,61,9999999, ISRAEL, Left, Foil , D/9,  V/10,1
7461,2017-1365,32,Adrian-LEE-35677,63,9999999, IRELAND, Right, Foil ,Paul_Anthony-LOWEN-21341,66,9999999, GREAT BRITAIN, Right, Foil , D/3,  V/10,1
7462,2017-1365,32,Patrick-DELACOUR-44996,66,9999999, FRANCE, Right, Foil ,Mark-BALLARD-14047,65,9999999, CANADA, Left, Epée , V/10,  D/8,0
7463,2017-1365,32,Kenichi-HINOSHITA-49,67,9999999, JAPAN, Right, Epée ,Andreas-HRUBESCH-1615,62,9999999, AUSTRIA, Right, Foil , D/6,  V/10,1
7464,2017-1365,16,Yasuo-SOEDA-21344,67,9999999, JAPAN, Right, Foil ,Richard-PURDIE-20689,69,9999999, AUSTRALIA, Right, Epée , V/10,  D/5,0
7465,2017-1365,16,Thomas-LUTTON-11268,65,9999999, USA, Right, Foil ,Titus-FOERSTER-23327,61,9999999, GERMANY, Right, Foil , V/10,  D/5,0
7466,2017-1365,16,Kenichi-UMEZAWA-35736,61,9999999, JAPAN, Left, Foil ,Imre-SZABO-33568,62,9999999, HUNGARY, Right, Foil , V/10,  D/4,0
7467,2017-1365,16,Maurizio-GALVAN-14314,64,9999999, ITALY, Right, Foil ,Philip-LEE-12400,61,9999999, IRELAND, Right, Foil , D/5,  V/10,1
7468,2017-1365,16,Philippe-BENNETT-27911,64,9999999, USA, Right, Foil ,Giulio-PAROLI-8933,66,9999999, ITALY, Right, Sabre , D/1,  V/10,1
7469,2017-1365,16,Paul-WEDGE-36097,64,9999999, GREAT BRITAIN, Right, Foil ,Stephen-FOX-21295,68,9999999, GREAT BRITAIN, Left, Foil , V/10,  D/4,0
7470,2017-1365,16,Boris-AGRANOVICH-44839,61,9999999, ISRAEL, Left, Foil ,Paul_Anthony-LOWEN-21341,66,9999999, GREAT BRITAIN, Right, Foil , V/8,  D/6,0
7471,2017-1365,16,Patrick-DELACOUR-44996,66,9999999, FRANCE, Right, Foil ,Andreas-HRUBESCH-1615,62,9999999, AUSTRIA, Right, Foil , D/3,  V/10,1
7472,2017-1365,8,Yasuo-SOEDA-21344,67,9999999, JAPAN, Right, Foil ,Thomas-LUTTON-11268,65,9999999, USA, Right, Foil , D/7,  V/10,1
7473,2017-1365,8,Kenichi-UMEZAWA-35736,61,9999999, JAPAN, Left, Foil ,Philip-LEE-12400,61,9999999, IRELAND, Right, Foil , V/9,  D/4,0
7474,2017-1365,8,Giulio-PAROLI-8933,66,9999999, ITALY, Right, Sabre ,Paul-WEDGE-36097,64,9999999, GREAT BRITAIN, Right, Foil , D/5,  V/10,1
7475,2017-1365,8,Boris-AGRANOVICH-44839,61,9999999, ISRAEL, Left, Foil ,Andreas-HRUBESCH-1615,62,9999999, AUSTRIA, Right, Foil , V/10,  D/4,0
7476,2017-1365,4,Thomas-LUTTON-11268,65,9999999, USA, Right, Foil ,Kenichi-UMEZAWA-35736,61,9999999, JAPAN, Left, Foil , D/4,  V/10,1
7477,2017-1365,4,Paul-WEDGE-36097,64,9999999, GREAT BRITAIN, Right, Foil ,Boris-AGRANOVICH-44839,61,9999999, ISRAEL, Left, Foil , V/10,  D/8,0
7478,2017-1365,2,Kenichi-UMEZAWA-35736,61,9999999, JAPAN, Left, Foil ,Paul-WEDGE-36097,64,9999999, GREAT BRITAIN, Right, Foil , D/5,  V/10,1
7479,2017-1103,32,Bettina-FICHTEL-41761,52,9999999, GERMANY, Right, Epée ,Fabrizia-ALESSANDRINI-41931,54,9999999, ITALY, Right, Epée , V/10,  D/4,0
7480,2017-1103,32,Valerie-ASHER-8780,58,9999999, USA, Right, Epée ,Sarah-OSVATH-1537,55,9999999, AUSTRALIA, Right, Epée , D/5,  V/10,1
7481,2017-1103,32,Paula-SOITIALA-11780,55,9999999, FINLAND, Right, Epée ,Kerstin-WARVSTEN-20882,55,588, SWEDEN, Left, Epée , V/10,  D/3,0
7482,2017-1103,32,Carola-SCHMID-41716,52,9999999, USA, Right, Epée ,Pia-BJORK-41770,53,9999999, SWEDEN, Right, Epée , V/10,  D/8,0
7483,2017-1103,32,Kerstin-WUOPIO-44885,51,9999999, SWEDEN, Right, Epée ,Ingrid-HESKETT-36279,51,514, GREAT BRITAIN, Right, Epée , V/10,  D/4,0
7484,2017-1103,32,Margarette-ONIYE-21024,52,502, GREAT BRITAIN, Right, Epée ,Judit-GYIURKAN-39024,53,9999999, HUNGARY, Right, Epée , D/8,  V/9,1
7485,2017-1103,32,Bettina-GRAF-44970,51,9999999, GERMANY, Right, Epée ,Isobel-ELLIS-35884,60,9999999, AUSTRALIA, Left, Epée , V/5,  D/1,0
7486,2017-1103,32,Nicole-RECHSTEINER_SIDLER-24794,51,9999999, SWITZERLAND, Left, Epée ,Pia-ALBERTSON-38684,53,395, SWEDEN, Right, Epée , D/5,  V/10,1
7487,2017-1103,32,Frauke-HOHLBEIN-10346,56,9999999, GERMANY, Right, Epée ,Claudia-COSTA-45033,56,9999999, BRAZIL, Right, Epée , V/10,  D/4,0
7488,2017-1103,32,Cristina-FORD-33328,56,9999999, USA, Right, Epée ,Rosa_Maria-CANO_DIOSA-2418,53,9999999, SPAIN, Right, Epée , D/6,  V/10,1
7489,2017-1103,32,Pascale-APPAVOUPOULLE-36033,54,9999999, FRANCE, Right, Epée ,Iliana_Diana-BONATO-44821,51,9999999, ITALY, Right, Epée , D/9,  V/10,1
7490,2017-1103,32,Arianne-MOSER-38583,53,9999999, SWITZERLAND, Right, Epée ,Leslie-MARX-44751,51,9999999, USA, Left, Epée , D/1,  V/10,1
7491,2017-1103,32,Christine-ZOPPKE-20749,52,9999999, GERMANY, Left, Sabre ,Christine-TRAN-29475,59,9999999, FRANCE, Right, Epée , V/10,  D/6,0
7492,2017-1103,32,Lisa-HUZEL-41766,51,9999999, CANADA, Right, Epée ,Hildegard-STROHMEYER-9461,52,9999999, AUSTRIA, Right, Epée , D/7,  V/10,1
7493,2017-1103,32,Claire-DUCHNOWSKI-44991,51,9999999, FRANCE, Right, Epée ,Flaminia-VIOLATI-44822,51,9999999, ITALY, Right, Epée , D/8,  V/10,1
7494,2017-1103,32,Ayako-MITSUI-44814,51,9999999, JAPAN, Right, Epée ,Ewa-BOROWA-38799,53,9999999, ITALY, Right, Epée , D/5,  V/10,1
7495,2017-1103,16,Bettina-FICHTEL-41761,52,9999999, GERMANY, Right, Epée ,Sarah-OSVATH-1537,55,9999999, AUSTRALIA, Right, Epée , V/10,  D/9,0
7496,2017-1103,16,Paula-SOITIALA-11780,55,9999999, FINLAND, Right, Epée ,Carola-SCHMID-41716,52,9999999, USA, Right, Epée , V/10,  D/6,0
7497,2017-1103,16,Kerstin-WUOPIO-44885,51,9999999, SWEDEN, Right, Epée ,Judit-GYIURKAN-39024,53,9999999, HUNGARY, Right, Epée , V/8,  D/7,0
7498,2017-1103,16,Bettina-GRAF-44970,51,9999999, GERMANY, Right, Epée ,Pia-ALBERTSON-38684,53,395, SWEDEN, Right, Epée , D/7,  V/10,1
7499,2017-1103,16,Frauke-HOHLBEIN-10346,56,9999999, GERMANY, Right, Epée ,Rosa_Maria-CANO_DIOSA-2418,53,9999999, SPAIN, Right, Epée , V/10,  D/5,0
7500,2017-1103,16,Iliana_Diana-BONATO-44821,51,9999999, ITALY, Right, Epée ,Leslie-MARX-44751,51,9999999, USA, Left, Epée , D/5,  V/10,1
7501,2017-1103,16,Christine-ZOPPKE-20749,52,9999999, GERMANY, Left, Sabre ,Hildegard-STROHMEYER-9461,52,9999999, AUSTRIA, Right, Epée , D/7,  V/10,1
7502,2017-1103,16,Flaminia-VIOLATI-44822,51,9999999, ITALY, Right, Epée ,Ewa-BOROWA-38799,53,9999999, ITALY, Right, Epée , D/6,  V/10,1
7503,2017-1103,8,Bettina-FICHTEL-41761,52,9999999, GERMANY, Right, Epée ,Paula-SOITIALA-11780,55,9999999, FINLAND, Right, Epée , V/10,  D/9,0
7504,2017-1103,8,Kerstin-WUOPIO-44885,51,9999999, SWEDEN, Right, Epée ,Pia-ALBERTSON-38684,53,395, SWEDEN, Right, Epée , D/6,  V/10,1
7505,2017-1103,8,Frauke-HOHLBEIN-10346,56,9999999, GERMANY, Right, Epée ,Leslie-MARX-44751,51,9999999, USA, Left, Epée , D/6,  V/10,1
7506,2017-1103,8,Hildegard-STROHMEYER-9461,52,9999999, AUSTRIA, Right, Epée ,Ewa-BOROWA-38799,53,9999999, ITALY, Right, Epée , D/9,  V/10,1
7507,2017-1103,4,Bettina-FICHTEL-41761,52,9999999, GERMANY, Right, Epée ,Pia-ALBERTSON-38684,53,395, SWEDEN, Right, Epée , D/7,  V/9,1
7508,2017-1103,4,Leslie-MARX-44751,51,9999999, USA, Left, Epée ,Ewa-BOROWA-38799,53,9999999, ITALY, Right, Epée , V/7,  D/6,0
7509,2017-1103,2,Pia-ALBERTSON-38684,53,395, SWEDEN, Right, Epée ,Leslie-MARX-44751,51,9999999, USA, Left, Epée , D/5,  V/10,1
7510,2017-1091,32,FERRARI-Marta-15411,29,54, ITALY, Right, Epée ,STAHLBERG-Nadine-28521,23,143, GERMANY, Right, Epée , D/12,  V/15,1
7511,2017-1091,32,MIHALY-Kata-19595,28,142, HUNGARY, Right, Epée ,KIM-Myoungsun-26282,29,9999999, KOREA, Right, Epée , D/11,  V/15,1
7512,2017-1091,32,MARZANI-Roberta-28741,22,97, ITALY, Left, Epée ,VAN_BRUMMEN-Anna-26304,24,211, USA, Right, Epée , V/15,  D/14,0
7513,2017-1091,32,BUECH-Kim_Jasmin-29773,23,288, SWITZERLAND, Left, Epée ,CLERICI-Alice-29962,22,66, ITALY, Right, Epée , V/15,  D/12,0
7514,2017-1091,32,LINDE-Asa-29653,21,107, SWEDEN, Right, Epée ,BALAGANSKAYA-Ulyana-28698,25,87, KAZAKHSTAN, Right, Epée , V/15,  D/12,0
7515,2017-1091,32,STAEHLI-Laura-17514,27,23, SWITZERLAND, Right, Epée ,KHRAPINA-Violetta-27238,24,91, RUSSIA, Left, Epée , V/15,  D/14,0
7516,2017-1091,32,SWATOWSKA-Martyna-25947,24,144, POLAND, Left, Epée ,BEZHURA-Dzhoan_Feybi-21484,27,39, UKRAINE, Right, Epée , V/15,  D/14,0
7517,2017-1091,32,ZAMACHOWSKA-Aleksandra-29878,23,50, POLAND, Right, Epée ,SHIRAISHI-Eri-42370,23,9999999, JAPAN, Right, Epée , V/15,  D/11,0
7518,2017-1091,32,CHOI-Hyojoo-27301,25,136, KOREA, Right, Epée ,PYTKA-Kamila-25928,24,130, POLAND, Left, Epée , D/8,  V/15,1
7519,2017-1091,32,FOIETTA-Nicol-28629,23,82, ITALY, Right, Epée ,LIN-Yik_Hei_Coco-28847,23,48, HONG KONG, Right, Epée , V/11,  D/8,0
7520,2017-1091,32,SONG-Sera-33038,25,266, KOREA, Left, Epée ,BRUNNER-Pauline-26244,24,58, SWITZERLAND, Left, Epée , V/15,  D/9,0
7521,2017-1091,32,TAURIAINEN-Sofia-27351,21,332, FINLAND, Right, Epée ,SCHMIDL-Paula-28728,22,125, AUSTRIA, Right, Epée , D/7,  V/15,1
7522,2017-1091,32,OKHOTNIKOVA-Irina-35103,21,134, RUSSIA, Right, Epée ,NIXON-Catherine-30485,21,67, USA, Left, Epée , D/12,  V/15,1
7523,2017-1091,32,POCHKALOVA-Anfisa-15351,28,46, UKRAINE, Right, Epée ,PANTELYEYEVA-Kseniya-22831,24,51, UKRAINE, Right, Epée , D/11,  V/15,1
7524,2017-1091,32,WANG-Yufen-39297,25,309, CHINA, Right, Epée ,CANDASSAMY-Marie_Florence-20179,27,30, FRANCE, Right, Epée , D/8,  V/15,1
7525,2017-1091,32,YU-Danwoo-40542,22,9999999, KOREA, Left, Epée ,EPEE-Laurence-19968,28,17, FRANCE, Right, Epée , V/15,  D/13,0
7526,2017-1091,16,STAHLBERG-Nadine-28521,23,143, GERMANY, Right, Epée ,KIM-Myoungsun-26282,29,9999999, KOREA, Right, Epée , D/9,  V/15,1
7527,2017-1091,16,MARZANI-Roberta-28741,22,97, ITALY, Left, Epée ,BUECH-Kim_Jasmin-29773,23,288, SWITZERLAND, Left, Epée , V/15,  D/8,0
7528,2017-1091,16,LINDE-Asa-29653,21,107, SWEDEN, Right, Epée ,STAEHLI-Laura-17514,27,23, SWITZERLAND, Right, Epée , V/15,  D/10,0
7529,2017-1091,16,SWATOWSKA-Martyna-25947,24,144, POLAND, Left, Epée ,ZAMACHOWSKA-Aleksandra-29878,23,50, POLAND, Right, Epée , D/7,  V/15,1
7530,2017-1091,16,PYTKA-Kamila-25928,24,130, POLAND, Left, Epée ,FOIETTA-Nicol-28629,23,82, ITALY, Right, Epée , V/9,  D/7,0
7531,2017-1091,16,SONG-Sera-33038,25,266, KOREA, Left, Epée ,SCHMIDL-Paula-28728,22,125, AUSTRIA, Right, Epée , V/15,  D/12,0
7532,2017-1091,16,NIXON-Catherine-30485,21,67, USA, Left, Epée ,PANTELYEYEVA-Kseniya-22831,24,51, UKRAINE, Right, Epée , D/9,  V/15,1
7533,2017-1091,16,CANDASSAMY-Marie_Florence-20179,27,30, FRANCE, Right, Epée ,YU-Danwoo-40542,22,9999999, KOREA, Left, Epée , D/5,  V/15,1
7534,2017-1091,8,KIM-Myoungsun-26282,29,9999999, KOREA, Right, Epée ,MARZANI-Roberta-28741,22,97, ITALY, Left, Epée , D/8,  V/15,1
7535,2017-1091,8,LINDE-Asa-29653,21,107, SWEDEN, Right, Epée ,ZAMACHOWSKA-Aleksandra-29878,23,50, POLAND, Right, Epée , D/5,  V/15,1
