TABLEU,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,WINNER
32,25,433, GERMANY, Right, Epée ,22,367, HUNGARY, Right, Epée ,1
32,27,16, RUSSIA, Right, Epée ,22,426, ITALY, Right, Epée ,0
16,24,9, ESTONIA, Left, Epée ,16,275, HUNGARY, Left, Epée ,0
16,33,25, ESTONIA, Right, Epée ,30,77, RUSSIA, Right, Epée ,1
16,28,142, HUNGARY, Right, Epée ,20,369, HUNGARY, Right, Epée ,0
16,22,89, RUSSIA, Left, Epée ,19,297, ROMANIA, Right, Epée ,0
16,29,88, ROMANIA, Right, Epée ,24,130, POLAND, Left, Epée ,0
16,26,43, HUNGARY, Right, Epée ,28,18, RUSSIA, Right, Epée ,1
16,22,367, HUNGARY, Right, Epée ,27,16, RUSSIA, Right, Epée ,1
8,24,9, ESTONIA, Left, Epée ,30,77, RUSSIA, Right, Epée ,0
8,28,142, HUNGARY, Right, Epée ,22,89, RUSSIA, Left, Epée ,0
8,28,18, RUSSIA, Right, Epée ,27,16, RUSSIA, Right, Epée ,0
4,24,9, ESTONIA, Left, Epée ,28,142, HUNGARY, Right, Epée ,0
4,29,88, ROMANIA, Right, Epée ,28,18, RUSSIA, Right, Epée ,1
2,24,9, ESTONIA, Left, Epée ,28,18, RUSSIA, Right, Epée ,0
32,23,337, SWITZERLAND, Right, Sabre ,24,119, ITALY, Right, Sabre ,1
32,22,318, CANADA, Right, Sabre ,17,361, USA, Right, Sabre ,0
32,28,363, AUSTRIA, Right, Sabre ,22,148, USA, Left, Sabre ,1
32,24,210, GREAT BRITAIN, Right, Sabre ,16,372, ICELAND, Right, Sabre ,0
32,32,334, IRELAND, Right, Sabre ,26,326, IRELAND, Right, Sabre ,1
32,37,335, GREAT BRITAIN, Right, Sabre ,18,288, AUSTRIA, Right, Sabre ,1
32,22,375, ICELAND, Right, Sabre ,18,315, ICELAND, Right, Sabre ,1
32,24,24, CANADA, Right, Sabre ,26,379, ICELAND, Right, Sabre ,0
32,19,346, PUERTO RICO, Left, Sabre ,19,305, GREAT BRITAIN, Right, Sabre ,1
32,22,324, CROATIA, Right, Sabre ,22,341, GREAT BRITAIN, Right, Sabre ,0
32,16,371, ICELAND, Right, Sabre ,21,282, POLAND, Right, Sabre ,1
32,23,200, POLAND, Right, Sabre ,40,366, ISRAEL, Right, Sabre ,0
32,30,358, GERMANY, Right, Sabre ,29,78, VIRGIN ISLANDS, Right, Sabre ,1
32,22,176, USA, Right, Sabre ,23,306, AUSTRALIA, Right, Sabre ,0
32,16,379, ICELAND, Right, Sabre ,20,189, ITALY, Right, Sabre ,1
16,21,53, ARGENTINA, Right, Sabre ,24,119, ITALY, Right, Sabre ,0
16,22,318, CANADA, Right, Sabre ,22,148, USA, Left, Sabre ,1
16,24,210, GREAT BRITAIN, Right, Sabre ,26,326, IRELAND, Right, Sabre ,0
16,18,288, AUSTRIA, Right, Sabre ,18,315, ICELAND, Right, Sabre ,0
16,24,24, CANADA, Right, Sabre ,19,305, GREAT BRITAIN, Right, Sabre ,0
16,22,324, CROATIA, Right, Sabre ,21,282, POLAND, Right, Sabre ,1
16,23,200, POLAND, Right, Sabre ,29,78, VIRGIN ISLANDS, Right, Sabre ,0
16,22,176, USA, Right, Sabre ,20,189, ITALY, Right, Sabre ,0
8,21,53, ARGENTINA, Right, Sabre ,22,148, USA, Left, Sabre ,0
8,24,210, GREAT BRITAIN, Right, Sabre ,18,288, AUSTRIA, Right, Sabre ,0
8,24,24, CANADA, Right, Sabre ,21,282, POLAND, Right, Sabre ,0
8,23,200, POLAND, Right, Sabre ,22,176, USA, Right, Sabre ,1
