,,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON
6415,2018-1319,16,Eloisa-PASSARO-32052,21, 147, ITALY, Right, Sabre ,Bhavani_Devi-CHADALAVADA_ANANDHA_SUNDHARARAMAN-20960,25, 60, INDIA, Right, Sabre , V/15
6416,2018-1319,16,Alexandra-GEVAERT-30152,22, 277, BELGIUM, Right, Sabre ,Iryna-SHCHUKLA-28351,23, 44, TURKEY, Right, Sabre , D/13
6417,2018-1319,16,Judith-KUSIAN-26487,23, 173, GERMANY, Right, Sabre ,Lea-SCHOLTEN-18172,27, None, GERMANY, Right, Sabre , V/15
6418,2018-1319,16,Julika-FUNKE-36389,18, 106, GERMANY, Right, Sabre ,Ann_Sophie-KINDLER-24486,22, 84, GERMANY, Left, Sabre , D/7
6419,2018-1319,8,Nada-HAFEZ-34643,21, 42, EGYPT, Right, Sabre ,Lisa-GETTE-36729,18, 94, GERMANY, Right, Sabre , V/15
6420,2018-1319,8,Jessica-CORBY-36230,20, 275, GREAT BRITAIN, Right, Sabre ,Araceli-NAVARRO-7739,29, 24, SPAIN, Right, Sabre , D/14
6421,2018-1319,8,Eloisa-PASSARO-32052,21, 147, ITALY, Right, Sabre ,Iryna-SHCHUKLA-28351,23, 44, TURKEY, Right, Sabre , V/15
6422,2018-1319,8,Judith-KUSIAN-26487,23, 173, GERMANY, Right, Sabre ,Ann_Sophie-KINDLER-24486,22, 84, GERMANY, Left, Sabre , D/12
6423,2018-1319,4,Nada-HAFEZ-34643,21, 42, EGYPT, Right, Sabre ,Araceli-NAVARRO-7739,29, 24, SPAIN, Right, Sabre , D/9
6424,2018-1319,4,Eloisa-PASSARO-32052,21, 147, ITALY, Right, Sabre ,Ann_Sophie-KINDLER-24486,22, 84, GERMANY, Left, Sabre , V/15
6425,2018-1319,2,Araceli-NAVARRO-7739,29, 24, SPAIN, Right, Sabre ,Eloisa-PASSARO-32052,21, 147, ITALY, Right, Sabre , V/15
6426,2018-16,32,Davide-CANZONERI-38784,20, None, ITALY, Right, Epée ,Emon-DAROIAN-42898,19, None, USA, Right, Epée , V/15
6427,2018-16,32,Tibor-ANDRASFI-36648,19, 313, HUNGARY, Right, Epée ,Plamen-DIKOV-35194,20, 315, BULGARIA, Right, Epée , V/14
6428,2018-16,32,Valerio-CUOMO-37711,20, 78, ITALY, Right, Epée ,Colin-KEPPEL-37789,20, 330, NETHERLANDS, Right, Epée , V/15
6429,2018-16,32,Egor-GUZHIEV-38588,20, 411, RUSSIA, Left, Epée ,Luidgi-MIDELTON-41784,20, 177, FRANCE, Right, Epée , D/14
6430,2018-16,32,Ian-SANDERS-44188,19, None, USA, Left, Epée ,Jonathan-PISKOVATSKOV-37612,18, 396, USA, Right, Epée , V/15
6431,2018-16,32,Bence-BENDE-36628,19, None, HUNGARY, Right, Epée ,Gergely-DEBNAR-42196,20, 938, HUNGARY, Right, Epée , V/15
6432,2018-16,32,Mate_Tamas-KOCH-39105,19, 106, HUNGARY, Right, Epée ,Alessio-PREZIOSI-37066,19, 372, ITALY, Right, Epée , D/13
6433,2018-16,32,Maxime-TROUMP-38692,20, None, FRANCE, Right, Epée ,Botond-BANYAI-40193,19, 943, HUNGARY, Right, Epée , D/12
6434,2018-16,32,Pavel-ANDRIYASHKIN-37863,20, None, RUSSIA, Right, Epée ,Sergio-MANZONI-43261,19, None, ITALY, Right, Epée , V/15
6435,2018-16,32,Bartlomiej-MANCEWICZ-32687,19, 219, SWEDEN, Right, Epée ,Ernests-CIMBOREVICS-33994,19, None, LATVIA, Right, Epée , V/15
6436,2018-16,32,David-NAGY-34620,19, 112, HUNGARY, Right, Epée ,Theodore-LOMBARDO-42917,18, 251, USA, Right, Epée , V/15
6437,2018-16,32,Thomas-PRECY-45289,20, None, FRANCE, Left, Epée ,Arthur-PHILIPPE-39358,19, 295, FRANCE, Left, Epée , V/15
6438,2018-16,32,Marco-MOLLUSO-40010,19, None, ITALY, Right, Epée ,Jonas-GUDERA-41780,19, None, GERMANY, Left, Epée , D/13
6439,2018-16,32,Linus-ISLAS_FLYGARE-30796,21, 159, SWEDEN, Right, Epée ,Davide-DI_VEROLI-42541,17, 52, ITALY, Left, Epée , D/12
6440,2018-16,32,Masato-YASU-37793,20, 974, JAPAN, Right, Epée ,Damian-MICHALAK-36613,19, 228, POLAND, Right, Epée , D/12
6441,2018-16,32,Giacomo-PAOLINI-39079,20, 417, ITALY, Right, Epée ,Jakub-JURKA-35041,19, 46, CZECH REPUBLIC, Left, Epée , D/9
6442,2018-16,16,Davide-CANZONERI-38784,20, None, ITALY, Right, Epée ,Tibor-ANDRASFI-36648,19, 313, HUNGARY, Right, Epée , D/8
6443,2018-16,16,Valerio-CUOMO-37711,20, 78, ITALY, Right, Epée ,Luidgi-MIDELTON-41784,20, 177, FRANCE, Right, Epée , D/7
6444,2018-16,16,Ian-SANDERS-44188,19, None, USA, Left, Epée ,Bence-BENDE-36628,19, None, HUNGARY, Right, Epée , V/7
6445,2018-16,16,Alessio-PREZIOSI-37066,19, 372, ITALY, Right, Epée ,Botond-BANYAI-40193,19, 943, HUNGARY, Right, Epée , D/8
6446,2018-16,16,Pavel-ANDRIYASHKIN-37863,20, None, RUSSIA, Right, Epée ,Bartlomiej-MANCEWICZ-32687,19, 219, SWEDEN, Right, Epée , V/15
6447,2018-16,16,David-NAGY-34620,19, 112, HUNGARY, Right, Epée ,Thomas-PRECY-45289,20, None, FRANCE, Left, Epée , D/8
6448,2018-16,16,Jonas-GUDERA-41780,19, None, GERMANY, Left, Epée ,Davide-DI_VEROLI-42541,17, 52, ITALY, Left, Epée , D/5
6449,2018-16,16,Damian-MICHALAK-36613,19, 228, POLAND, Right, Epée ,Jakub-JURKA-35041,19, 46, CZECH REPUBLIC, Left, Epée , D/12
6450,2018-16,8,Tibor-ANDRASFI-36648,19, 313, HUNGARY, Right, Epée ,Luidgi-MIDELTON-41784,20, 177, FRANCE, Right, Epée , V/15
6451,2018-16,8,Ian-SANDERS-44188,19, None, USA, Left, Epée ,Botond-BANYAI-40193,19, 943, HUNGARY, Right, Epée , D/10
6452,2018-16,8,Pavel-ANDRIYASHKIN-37863,20, None, RUSSIA, Right, Epée ,Thomas-PRECY-45289,20, None, FRANCE, Left, Epée , V/15
6453,2018-16,8,Davide-DI_VEROLI-42541,17, 52, ITALY, Left, Epée ,Jakub-JURKA-35041,19, 46, CZECH REPUBLIC, Left, Epée , V/14
6454,2018-16,4,Tibor-ANDRASFI-36648,19, 313, HUNGARY, Right, Epée ,Botond-BANYAI-40193,19, 943, HUNGARY, Right, Epée , V/15
6455,2018-16,4,Pavel-ANDRIYASHKIN-37863,20, None, RUSSIA, Right, Epée ,Davide-DI_VEROLI-42541,17, 52, ITALY, Left, Epée , D/6
6456,2018-16,2,Tibor-ANDRASFI-36648,19, 313, HUNGARY, Right, Epée ,Davide-DI_VEROLI-42541,17, 52, ITALY, Left, Epée , V/15
6457,2018-12,32,Federica-ISOLA-35125,19, 49, ITALY, Right, Epée ,Edina-KARDOS-38781,18, 567, HUNGARY, Right, Epée , V/15
6458,2018-12,32,Alessandra-BOZZA-35123,19, 317, ITALY, Left, Epée ,Demetra-SOLARI-35854,20, 390, SWITZERLAND, Right, Epée , D/13
6459,2018-12,32,Vera_Maia_Devi-KANEVSKI-32570,19, 291, ISRAEL, Right, Epée ,Solene-MASSEREY-39475,19, 384, SWITZERLAND, Right, Epée , V/15
6460,2018-12,32,Susan_Maria-SICA-37683,20, 289, GREAT BRITAIN, Left, Epée ,Bianca-BENEA-32982,19, 297, ROMANIA, Right, Epée , V/15
6461,2018-12,32,Beatrice-CAGNIN-34432,19, 338, ITALY, Right, Epée ,Marina-KESAEVA-40521,19, 248, RUSSIA, Right, Epée , V/15
6462,2018-12,32,Evgeniya-ZHARKOVA-43719,18, None, RUSSIA, Right, Epée ,Anzhelika-KHUGAEVA-38611,20, None, RUSSIA, Right, Epée , D/14
6463,2018-12,32,Yana-BOTVINIK-34482,20, 141, ISRAEL, Right, Epée ,Valentina-BOS-37790,19, None, SWITZERLAND, Right, Epée , V/15
6464,2018-12,32,Renata-PETRI-38766,18, 306, HUNGARY, Right, Epée ,Anastasia-SOLDATOVA-37864,19, 311, RUSSIA, Left, Epée , D/7
6465,2018-12,32,Eleonora-DE_MARCHI-32441,20, 191, ITALY, Right, Epée ,Ekaterina-TARASOVA-35717,20, 626, RUSSIA, Right, Epée , V/15
6466,2018-12,32,Lea-MAYER-36322,18, None, GERMANY, Right, Epée ,Gaia-TRADITI-40012,18, None, ITALY, Right, Epée , D/12
6467,2018-12,32,Barbara-BRYCH-35861,18, 782, POLAND, Right, Epée ,Kim-TREUDT_GOESSER-34152,20, 555, GERMANY, Left, Epée , D/14
6468,2018-12,32,Alice-CONRAD-45384,18, None, FRANCE, Right, Epée ,Lydiane-HERSANT-42738,19, None, FRANCE, Right, Epée , D/13
6469,2018-12,32,Lili-BUKI-45400,16, 301, HUNGARY, Right, Epée ,Alessandra-SEGATTO-37160,19, None, ITALY, Right, Epée , D/9
6470,2018-12,32,Karoliine-LOIT-34454,18, 349, ESTONIA, Right, Epée ,Angeline-FAVRE-39476,18, 260, SWITZERLAND, Right, Epée , D/10
6471,2018-12,32,Kinga-NAGY-32913,20, 325, HUNGARY, Right, Epée ,Danielle-LAWSON-34214,20, 361, GREAT BRITAIN, Right, Epée , D/13
6472,2018-12,32,Amelie-HANSCHKE-36325,20, None, GERMANY, Right, Epée ,Tamara-GNAM-35779,18, 508, HUNGARY, Left, Epée , V/15
6473,2018-12,16,Federica-ISOLA-35125,19, 49, ITALY, Right, Epée ,Demetra-SOLARI-35854,20, 390, SWITZERLAND, Right, Epée , V/15
6474,2018-12,16,Vera_Maia_Devi-KANEVSKI-32570,19, 291, ISRAEL, Right, Epée ,Susan_Maria-SICA-37683,20, 289, GREAT BRITAIN, Left, Epée , V/15
6475,2018-12,16,Beatrice-CAGNIN-34432,19, 338, ITALY, Right, Epée ,Anzhelika-KHUGAEVA-38611,20, None, RUSSIA, Right, Epée , V/15
6476,2018-12,16,Yana-BOTVINIK-34482,20, 141, ISRAEL, Right, Epée ,Anastasia-SOLDATOVA-37864,19, 311, RUSSIA, Left, Epée , D/12
6477,2018-12,16,Eleonora-DE_MARCHI-32441,20, 191, ITALY, Right, Epée ,Gaia-TRADITI-40012,18, None, ITALY, Right, Epée , V/15
6478,2018-12,16,Kim-TREUDT_GOESSER-34152,20, 555, GERMANY, Left, Epée ,Lydiane-HERSANT-42738,19, None, FRANCE, Right, Epée , D/9
6479,2018-12,16,Alessandra-SEGATTO-37160,19, None, ITALY, Right, Epée ,Angeline-FAVRE-39476,18, 260, SWITZERLAND, Right, Epée , V/15
6480,2018-12,16,Danielle-LAWSON-34214,20, 361, GREAT BRITAIN, Right, Epée ,Amelie-HANSCHKE-36325,20, None, GERMANY, Right, Epée , D/12
6481,2018-12,8,Federica-ISOLA-35125,19, 49, ITALY, Right, Epée ,Vera_Maia_Devi-KANEVSKI-32570,19, 291, ISRAEL, Right, Epée , V/15
6482,2018-12,8,Beatrice-CAGNIN-34432,19, 338, ITALY, Right, Epée ,Anastasia-SOLDATOVA-37864,19, 311, RUSSIA, Left, Epée , D/7
6483,2018-12,8,Eleonora-DE_MARCHI-32441,20, 191, ITALY, Right, Epée ,Lydiane-HERSANT-42738,19, None, FRANCE, Right, Epée , V/15
6484,2018-12,8,Alessandra-SEGATTO-37160,19, None, ITALY, Right, Epée ,Amelie-HANSCHKE-36325,20, None, GERMANY, Right, Epée , V/4
6485,2018-12,4,Federica-ISOLA-35125,19, 49, ITALY, Right, Epée ,Anastasia-SOLDATOVA-37864,19, 311, RUSSIA, Left, Epée , D/12
6486,2018-12,4,Eleonora-DE_MARCHI-32441,20, 191, ITALY, Right, Epée ,Alessandra-SEGATTO-37160,19, None, ITALY, Right, Epée , V/15
6487,2018-12,2,Anastasia-SOLDATOVA-37864,19, 311, RUSSIA, Left, Epée ,Eleonora-DE_MARCHI-32441,20, 191, ITALY, Right, Epée , D/14
6488,2018-125,32,Kristina-SAMSONOVA-31155,23, 54, RUSSIA, Left, Foil ,Marta-MARTYANOVA-34564,20, 23, RUSSIA, Right, Foil , D/11
6489,2018-125,32,Eleanor-HARVEY-23398,23, 8, CANADA, Left, Foil ,Nzingha-PRESCOD-18071,26, 14, USA, Right, Foil , V/15
6490,2018-125,32,Adelya-ABDRAKHMANOVA-33069,21, 74, RUSSIA, Right, Foil ,Svetlana-TRIPAPINA-28162,24, 10, RUSSIA, Right, Foil , D/6
6491,2018-125,32,Nicole-ROSS-12269,29, 13, USA, Right, Foil ,Flora-PASZTOR-33780,20, 147, HUNGARY, Right, Foil , V/15
6492,2018-125,32,Beatrice-MONACO-21581,26, 95, ITALY, Left, Foil ,Martyna-SYNORADZKA-9908,30, 28, POLAND, Left, Foil , V/15
6493,2018-125,32,Julia-WALCZYK-30327,21, 18, POLAND, Right, Foil ,Leonie-EBERT-33746,19, 6, GERMANY, Left, Foil , D/10
6494,2018-125,32,Sylvie-BINDER-35649,19, 205, USA, Left, Foil ,Alice-VOLPI-19878,26, 2, ITALY, Right, Foil , D/10
6495,2018-125,32,Ysaora-THIBUS-20514,27, 7, FRANCE, Right, Foil ,Anne-SAUER-17481,27, 12, GERMANY, Right, Foil , V/14
6496,2018-125,32,Chloe-JUBENOT-26136,23, 128, FRANCE, Right, Foil ,Adelina-ZAGIDULLINA-27237,26, 33, RUSSIA, Right, Foil , D/10
6497,2018-125,32,Valentina-CIPRIANI-4437,35, 230, ITALY, Left, Foil ,Martina-BATINI-12590,29, 63, ITALY, Right, Epée , D/13
6498,2018-125,32,Camilla-MANCINI-23445,24, 9, ITALY, Right, Foil ,Julia-CHRZANOWSKA-30140,21, 148, POLAND, Right, Foil , V/15
6499,2018-125,32,Valentina-DE_COSTANZO-12591,29, 31, ITALY, Left, Foil ,Pauline-RANVIER-25514,24, 30, FRANCE, Right, Foil , D/13
6500,2018-125,32,Aida-MOHAMED-4164,42, 60, HUNGARY, Left, Foil ,Larisa-KOROBEYNIKOVA-10688,31, 46, RUSSIA, Right, Foil , D/12
6501,2018-125,32,Irina-ELESINA-20765,27, 190, RUSSIA, Right, Foil ,Lee-KIEFER-21717,24, 3, USA, Right, Foil , D/9
6502,2018-125,16,Eleanor-HARVEY-23398,23, 8, CANADA, Left, Foil ,Svetlana-TRIPAPINA-28162,24, 10, RUSSIA, Right, Foil , V/15
6503,2018-125,16,Nicole-ROSS-12269,29, 13, USA, Right, Foil ,Beatrice-MONACO-21581,26, 95, ITALY, Left, Foil , V/15
6504,2018-125,16,Leonie-EBERT-33746,19, 6, GERMANY, Left, Foil ,Alice-VOLPI-19878,26, 2, ITALY, Right, Foil , D/13
6505,2018-125,16,Ysaora-THIBUS-20514,27, 7, FRANCE, Right, Foil ,Adelina-ZAGIDULLINA-27237,26, 33, RUSSIA, Right, Foil , V/15
6506,2018-125,16,Camilla-MANCINI-23445,24, 9, ITALY, Right, Foil ,Pauline-RANVIER-25514,24, 30, FRANCE, Right, Foil , D/11
6507,2018-125,16,Larisa-KOROBEYNIKOVA-10688,31, 46, RUSSIA, Right, Foil ,Lee-KIEFER-21717,24, 3, USA, Right, Foil , D/10
6508,2018-125,8,Nicole-ROSS-12269,29, 13, USA, Right, Foil ,Alice-VOLPI-19878,26, 2, ITALY, Right, Foil , D/10
6509,2018-125,8,Ysaora-THIBUS-20514,27, 7, FRANCE, Right, Foil ,Martina-BATINI-12590,29, 63, ITALY, Right, Epée , D/13
6510,2018-125,8,Pauline-RANVIER-25514,24, 30, FRANCE, Right, Foil ,Lee-KIEFER-21717,24, 3, USA, Right, Foil , D/13
6511,2018-125,4,Martina-BATINI-12590,29, 63, ITALY, Right, Epée ,Lee-KIEFER-21717,24, 3, USA, Right, Foil , D/7
6512,2018-125,2,Alice-VOLPI-19878,26, 2, ITALY, Right, Foil ,Lee-KIEFER-21717,24, 3, USA, Right, Foil , D/14
6513,2018-177,32,Viktoria_Luise-KOCH-28717,24, 433, SWITZERLAND, Right, Epée ,Martina-STAEHLI-28239,25, 470, SWITZERLAND, Right, Epée , V/15
6514,2018-177,32,Angela-KRIEGER-15615,28, 85, SWITZERLAND, Right, Epée ,Macarena-CENTENERA-24611,24, 305, SPAIN, Right, Epée , V/15
6515,2018-177,32,Kim_Jasmin-BUECH-29773,23, 288, SWITZERLAND, Left, Epée ,Noemi-MOESCHLIN-33663,22, 101, SWITZERLAND, Right, Epée , V/15
6516,2018-177,32,Anna-VAN_BRUMMEN-26304,24, 211, USA, Right, Epée ,Hannah-NESBITT-29349,23, 453, GREAT BRITAIN, Right, Epée , V/15
6517,2018-177,32,Alexandra-BLUM-28111,24, 268, SWITZERLAND, Left, Epée ,Maria_Victoria-RAMOS-27710,25, 599, COLOMBIA, Right, Epée , V/14
6518,2018-177,32,Jenny-PEGO_MAGALHAES-35855,20, 555, SWITZERLAND, Left, Epée ,Carlotta-CIMIOTTI-32404,20, None, SWITZERLAND, Right, Foil , D/13
6519,2018-177,32,Katrina-SMITH-26534,27, 199, GREAT BRITAIN, Right, Epée ,Leonora-MACKINNON-23238,24, 57, CANADA, Right, Epée , D/11
6520,2018-177,32,Laura-STAEHLI-17514,27, 23, SWITZERLAND, Right, Epée ,Aurora_Yingchun-VILLACELLINO-10250,34, 366, SINGAPORE, Right, Epée , V/15
6521,2018-177,32,Ines-GARCIA_RODRIGUEZ-24928,24, 207, SPAIN, Right, Epée ,Eniko-SIKLOSI-28339,23, None, HUNGARY, Right, Epée , D/11
6522,2018-177,32,Laskmi_Natalia-LOZANO_OLARTE-10799,31, 240, COLOMBIA, Right, Epée ,Honami-SUZUKI-26548,24, 262, JAPAN, Right, Epée , D/11
6523,2018-177,32,Angeline-FAVRE-39476,18, 260, SWITZERLAND, Right, Epée ,Sofia-CISNEROS-28400,22, 327, SPAIN, Right, Epée , D/12
6524,2018-177,32,Dora-KISKAPUSI-4119,36, 73, SPAIN, Right, Epée ,Sara-FERNANDEZ_CALLEJA-26147,25, 131, SPAIN, Right, Epée , V/15
6525,2018-177,32,Barbara-WAINER-18164,31, None, FRANCE, Right, Epée ,Dorina-BUDAI-19630,26, 43, HUNGARY, Right, Epée , D/6
6526,2018-177,32,Irina-MAVRIKIOU-42158,34, 222, CYPRUS, Left, Epée ,Reka-SZABO-26222,23, 95, HUNGARY, Left, Epée , D/8
6527,2018-177,32,Manon-EMMENEGGER-33657,21, 324, SWITZERLAND, Left, Epée ,Vivien-VARNAI-24404,24, 189, HUNGARY, Right, Epée , D/8
6528,2018-177,16,Angela-KRIEGER-15615,28, 85, SWITZERLAND, Right, Epée ,Kim_Jasmin-BUECH-29773,23, 288, SWITZERLAND, Left, Epée , V/15
6529,2018-177,16,Anna-VAN_BRUMMEN-26304,24, 211, USA, Right, Epée ,Alexandra-BLUM-28111,24, 268, SWITZERLAND, Left, Epée , D/14
6530,2018-177,16,Carlotta-CIMIOTTI-32404,20, None, SWITZERLAND, Right, Foil ,Leonora-MACKINNON-23238,24, 57, CANADA, Right, Epée , D/12
6531,2018-177,16,Laura-STAEHLI-17514,27, 23, SWITZERLAND, Right, Epée ,Eniko-SIKLOSI-28339,23, None, HUNGARY, Right, Epée , D/11
6532,2018-177,16,Honami-SUZUKI-26548,24, 262, JAPAN, Right, Epée ,Sofia-CISNEROS-28400,22, 327, SPAIN, Right, Epée , D/12
6533,2018-177,16,Dora-KISKAPUSI-4119,36, 73, SPAIN, Right, Epée ,Dorina-BUDAI-19630,26, 43, HUNGARY, Right, Epée , D/12
6534,2018-177,16,Reka-SZABO-26222,23, 95, HUNGARY, Left, Epée ,Vivien-VARNAI-24404,24, 189, HUNGARY, Right, Epée , V/15
6535,2018-177,8,Alexandra-BLUM-28111,24, 268, SWITZERLAND, Left, Epée ,Leonora-MACKINNON-23238,24, 57, CANADA, Right, Epée , V/15
6536,2018-177,8,Eniko-SIKLOSI-28339,23, None, HUNGARY, Right, Epée ,Sofia-CISNEROS-28400,22, 327, SPAIN, Right, Epée , V/15
6537,2018-177,8,Dorina-BUDAI-19630,26, 43, HUNGARY, Right, Epée ,Reka-SZABO-26222,23, 95, HUNGARY, Left, Epée , D/8
6538,2018-177,4,Eniko-SIKLOSI-28339,23, None, HUNGARY, Right, Epée ,Reka-SZABO-26222,23, 95, HUNGARY, Left, Epée , D/8
6539,2018-420,32,Liza-PUSZTAI-39147,17, 16, HUNGARY, Right, Sabre ,Greta-CECERE-45345,18, None, ITALY, Right, Sabre , V/15
6540,2018-420,32,Veronica-CZYZEWSKI-38862,19, 138, USA, Right, Sabre ,Martha-MERRIAM-37440,19, None, USA, Right, Sabre , V/15
6541,2018-420,32,Elena-HERNANDEZ-39583,19, 271, SPAIN, Right, Sabre ,Kara-LINDER-34348,18, 118, USA, Left, Sabre , V/15
6542,2018-420,32,Yoana-ILIEVA-37754,17, 72, BULGARIA, Left, Sabre ,Beatrice-DALLA_VECCHIA-36315,19, 456, ITALY, Right, Sabre , D/13
6543,2018-420,32,Olga-NIKITINA-37871,20, 52, RUSSIA, Right, Sabre ,Keli-IZENSON-35672,18, 413, USA, Right, Sabre , V/15
6544,2018-420,32,Elizabeth-TARTAKOVSKY-35774,18, 168, USA, Right, Sabre ,Claudia-ROTILI-37758,18, None, ITALY, Left, Sabre , V/15
6545,2018-420,32,Dora-MARTON-39458,18, None, HUNGARY, Right, Sabre ,Valentina-NAGY-42087,17, 266, HUNGARY, Right, Sabre , D/6
6546,2018-420,32,Caitlin-MAXWELL-34133,19, 242, GREAT BRITAIN, Left, Sabre ,Chloe-FOX_GITOMER-35742,18, 25, USA, Left, Sabre , D/12
6547,2018-420,32,Lucia-LUCARINI-34297,20, 101, ITALY, Right, Sabre ,Ryan-JENKINS-39428,17, 178, USA, Right, Sabre , V/15
6548,2018-420,32,Alessia-DI_CARLO-45303,17, None, ITALY, Right, Sabre ,Natalia-BOTELLO-39608,16, 57, MEXICO, Left, Sabre , D/8
6549,2018-420,32,Maia-CHAMBERLAIN-35361,20, 185, USA, Right, Sabre ,Margarita-SMIRNOVA-33720,19, 396, UKRAINE, Right, Sabre , V/15
6550,2018-420,32,Anastasya-ELKINA-40350,18, None, RUSSIA, Right, Sabre ,Alexis-ANGLADE-35685,17, 228, USA, Right, Sabre , D/12
6551,2018-420,32,Edith-JOHNSON-35684,18, 132, USA, Right, Sabre ,Lisa-GETTE-36729,18, 94, GERMANY, Right, Sabre , V/15
6552,2018-420,32,Ariane-LEBEL-37277,18, 317, SWITZERLAND, Right, Sabre ,Maria-VENTURA-32199,18, 281, SPAIN, Right, Sabre , D/7
6553,2018-420,32,Evgenia-PODPASKOVA-37872,20, 220, RUSSIA, Right, Sabre ,Zuzanna-CIESLAR-36407,18, 270, POLAND, Right, Sabre , V/15
6554,2018-420,32,Larissa-EIFLER-34051,19, 187, GERMANY, Left, Sabre ,Greta-KOOS-39459,18, 439, HUNGARY, Right, Sabre , V/15
6555,2018-420,16,Liza-PUSZTAI-39147,17, 16, HUNGARY, Right, Sabre ,Veronica-CZYZEWSKI-38862,19, 138, USA, Right, Sabre , V/15
6556,2018-420,16,Elena-HERNANDEZ-39583,19, 271, SPAIN, Right, Sabre ,Beatrice-DALLA_VECCHIA-36315,19, 456, ITALY, Right, Sabre , D/7
6557,2018-420,16,Olga-NIKITINA-37871,20, 52, RUSSIA, Right, Sabre ,Elizabeth-TARTAKOVSKY-35774,18, 168, USA, Right, Sabre , V/15
6558,2018-420,16,Valentina-NAGY-42087,17, 266, HUNGARY, Right, Sabre ,Chloe-FOX_GITOMER-35742,18, 25, USA, Left, Sabre , V/15
6559,2018-420,16,Lucia-LUCARINI-34297,20, 101, ITALY, Right, Sabre ,Natalia-BOTELLO-39608,16, 57, MEXICO, Left, Sabre , V/15
6560,2018-420,16,Maia-CHAMBERLAIN-35361,20, 185, USA, Right, Sabre ,Alexis-ANGLADE-35685,17, 228, USA, Right, Sabre , D/7
6561,2018-420,16,Edith-JOHNSON-35684,18, 132, USA, Right, Sabre ,Maria-VENTURA-32199,18, 281, SPAIN, Right, Sabre , V/15
6562,2018-420,16,Evgenia-PODPASKOVA-37872,20, 220, RUSSIA, Right, Sabre ,Larissa-EIFLER-34051,19, 187, GERMANY, Left, Sabre , D/8
6563,2018-420,8,Liza-PUSZTAI-39147,17, 16, HUNGARY, Right, Sabre ,Beatrice-DALLA_VECCHIA-36315,19, 456, ITALY, Right, Sabre , V/15
6564,2018-420,8,Olga-NIKITINA-37871,20, 52, RUSSIA, Right, Sabre ,Valentina-NAGY-42087,17, 266, HUNGARY, Right, Sabre , V/15
6565,2018-420,8,Lucia-LUCARINI-34297,20, 101, ITALY, Right, Sabre ,Alexis-ANGLADE-35685,17, 228, USA, Right, Sabre , V/15
6566,2018-420,8,Edith-JOHNSON-35684,18, 132, USA, Right, Sabre ,Larissa-EIFLER-34051,19, 187, GERMANY, Left, Sabre , V/15
6567,2018-420,4,Liza-PUSZTAI-39147,17, 16, HUNGARY, Right, Sabre ,Olga-NIKITINA-37871,20, 52, RUSSIA, Right, Sabre , D/10
6568,2018-420,4,Lucia-LUCARINI-34297,20, 101, ITALY, Right, Sabre ,Edith-JOHNSON-35684,18, 132, USA, Right, Sabre , D/10
6569,2018-420,2,Olga-NIKITINA-37871,20, 52, RUSSIA, Right, Sabre ,Edith-JOHNSON-35684,18, 132, USA, Right, Sabre , V/15
6570,2018-45,32,Alexandre-EDIRI-34638,20, 125, FRANCE, Right, Foil ,Joon-PAIK-41741,18, 646, USA, Left, Foil , D/12
6571,2018-45,32,Julian-CHENG-41742,18, 655, USA, Right, Foil ,Takuma-ITO-31918,20, 158, JAPAN, Right, Foil , D/6
6572,2018-45,32,Kieren-LOCK-43143,17, None, SINGAPORE, Right, Foil ,Yusaku-TOMIDA-45223,19, None, JAPAN, Right, Foil , V/15
6573,2018-45,32,Olivier-SPLIT-39470,19, 398, NETHERLANDS, Right, Foil ,Marcello-OLIVARES-43020,17, 202, USA, Right, Foil , D/7
6574,2018-45,32,Rui-FUJIKURA-40750,19, 312, JAPAN, Right, Foil ,Kohei-SUGAWARA-40751,19, None, JAPAN, Right, Foil , V/15
6575,2018-45,32,Kerry-LU-45001,17, None, USA, Right, Foil ,Julian-KNODT-35660,20, None, USA, Right, Foil , D/10
6576,2018-45,32,Kenji-BRAVO-41743,17, 176, USA, Right, Foil ,Andrew-ZHENG-42788,17, 681, USA, Right, Foil , V/15
6577,2018-45,32,Ashton-DANIEL-43175,17, 689, USA, Right, Foil ,Stef-VAN_CAMPENHOUT-37860,20, 107, BELGIUM, Left, Foil , D/12
6578,2018-45,32,Wallerand-ROGER-34789,20, 121, FRANCE, Right, Foil ,Olivier-DE_JONG-35081,20, None, NETHERLANDS, Right, Foil , V/15
6579,2018-45,32,Yudai-NAGANO-36173,20, 268, JAPAN, Right, Foil ,Michael-LI-36397,19, None, USA, Left, Foil , V/15
6580,2018-45,32,Ren-TAKAHASHI-45315,20, None, JAPAN, Left, Foil ,Kyota-KAWAMURA-42387,18, None, JAPAN, Right, Foil , V/15
6581,2018-45,32,Raphael-SAVIN-39650,18, 185, FRANCE, Right, Foil ,Pierre-LOISEL-36874,20, 130, FRANCE, Right, Foil , D/13
6582,2018-45,32,Stef-DE_GREEF-35143,21, 134, BELGIUM, Left, Foil ,Lucas-MOTTIAT-41826,19, 308, BELGIUM, Right, Foil , V/15
6583,2018-45,32,Janibek-KHALMURATOV-34987,20, 233, UZBEKISTAN, Left, Foil ,Yuto-UENO-36490,19, 252, JAPAN, Right, Foil , D/1
