Category, Gender, Weapon, Competition, Place, Date, Type, Event
Coupe du Monde,Londres,03.11.18,J,F,F,I,A
Tournoi satellite,Barcelone,27.10.18,S,F,F,I,SA
Tournoi satellite,Dublin,27.10.18,S,E,M,I,SA
Tournoi satellite,Maalot,27.10.18,S,E,F,I,SA
Tournoi Satelite,Barcelone,27.10.18,S,F,M,I,SA
Tournoi satellite,San-Jose,21.10.18,S,E,M,I,SA
Tournoi Satellite,San-Jose,20.10.18,S,E,F,I,SA
Tournoi satellite,Antalya,20.10.18,S,S,F,I,SA
Tournoi Satelite,Antalya,20.10.18,S,F,F,I,SA
Tournoi Satellite,Split,14.10.18,S,E,M,I,SA
Tournoi satellite,Londres,14.10.18,S,S,M,I,SA
Tournoi Satellite,Split,13.10.18,S,E,F,I,SA
Tournoi Satelite,Londres,13.10.18,S,F,M,I,SA
Tournoi Satellite,Reykjavik,07.10.18,S,S,M,I,SA
Tournoi Satellite,Copenhague,07.10.18,S,F,F,I,SA
Tournoi Satellite,Copenhague,06.10.18,S,F,M,I,SA
Tournoi satellite,Reykjavik,06.10.18,S,S,F,I,SA
Tournoi satellite,Turku,06.10.18,S,E,F,I,SA
Tournoi Satellite,Turku,06.10.18,S,E,M,I,SA
Tournoi satellite,Gand,30.09.18,S,S,F,I,SA
Tournoi satellite,Cancun,30.09.18,S,F,M,I,SA
Tournoi Satelite,Genève,30.09.18,S,E,M,I,SA
Tournoi Satellite,Cancun,30.09.18,S,F,F,I,SA
Tournoi satellite,Gand,30.09.18,S,S,M,I,SA
Tournoi satellite,Genève,29.09.18,S,E,F,I,SA
Tournoi satellite ,Oslo,29.09.18,S,E,M,I,SA
Tournoi satellite,Bucarest,23.09.18,S,F,F,I,SA
Tournoi satellite,Plovdiv,23.09.18,S,S,F,I,SA
Tournoi Satelite,Stockholm,23.09.18,S,E,F,I,SA
Tournoi satellite,Plovdiv,22.09.18,S,S,M,I,SA
Tournoi satellite,Bucarest,22.09.18,S,F,M,I,SA
Tournoi Satellite,Stockholm,22.09.18,S,E,M,I,SA
Tournoi satellite ,Bratislava,16.09.18,S,E,F,I,SA
Tournoi satellite,Bratislava,15.09.18,S,F,M,I,SA
Tournoi satellite,Bratislava,15.09.18,S,F,F,I,SA
Tournoi satellite,Amsterdam,09.09.18,S,S,M,I,SA
Tournoi satellite,Amsterdam,09.09.18,S,F,F,I,SA
Tournoi Satellite,Amsterdam,08.09.18,S,F,M,I,SA
Tournoi Satellite,Belgrade,01.09.18,S,E,F,I,SA
Tournoi Satellite,Belgrade,01.09.18,S,E,M,I,SA
Championnats du monde Vétérans par equipe *,Livorno,14.10.18,V,S,F,T,CHM
Championnats du monde Vétérans par équipes *,Livorno,14.10.18,V,E,M,T,CHM
Championnats du monde vétérans 50-59 *,Livorno,13.10.18,V,S,F,I,CHM
Championnats du monde Vétérans 70+ *,Livorno,13.10.18,V,S,F,I,CHM
Championnats du monde Vétérans 60-69 *,Livorno,13.10.18,V,S,F,I,CHM
Championnats du monde vétérans 50-59 *,Livorno,13.10.18,V,E,M,I,CHM
Championnats du monde Vétérans 70+ *,Livorno,12.10.18,V,E,M,I,CHM
Championnats du monde Vétérans par équipes *,Livorno,12.10.18,V,S,M,T,CHM
Championnats du monde Vétérans par équipes *,Livorno,12.10.18,V,F,F,T,CHM
Championnats du monde Vétérans 60-69 *,Livorno,12.10.18,V,E,M,I,CHM
Championnats du monde Vétérans par équipes *,Livorno,11.10.18,V,F,M,T,CHM
Championnats du monde vétérans 50-59 *,Livorno,11.10.18,V,F,F,I,CHM
Championnats du monde Vétérans 70+ *,Livorno,11.10.18,V,F,F,I,CHM
Championnats du monde Vétérans 60-69 *,Livorno,11.10.18,V,F,F,I,CHM
Championnats du monde vétérans 50-59 *,Livorno,11.10.18,V,F,F,I,CHM
Championnats du monde Vétérans par équipes *,Livorno,10.10.18,V,E,F,T,CHM
JOJ 2018 Mixed team event,Buenos Aires,10.10.18,C,E,F,T,NF
Championnats du monde vétérans 50-59 *,Livorno,10.10.18,V,F,M,I,CHM
Championnats du monde Vétérans 60-69 *,Livorno,10.10.18,V,S,M,I,CHM
JOJ 2018 Mixed team event *,Buenos Aires,10.10.18,C,E,F,T,NF
Championnats du monde Vétérans 70+ *,Livorno,10.10.18,V,S,M,I,CHM
JOJ 2018,Buenos Aires,09.10.18,C,S,F,I,NF
Championnats du monde Vétérans 60-69 *,Livorno,09.10.18,V,E,F,I,CHM
Championnats du monde Vétérans 60-69 *,Livorno,09.10.18,V,F,M,I,CHM
JOJ 2018,Buenos Aires,09.10.18,C,F,M,I,NF
Championnats du monde Vétérans 70+ *,Livorno,09.10.18,V,E,F,I,CHM
Championnats du monde vétérans 50-59 *,Livorno,09.10.18,V,E,F,I,CHM
Championnats du monde Vétérans 70+ *,Livorno,09.10.18,V,F,M,I,CHM
JOJ 2018,Buenos Aires,08.10.18,C,E,F,I,NF
JOJ 2018,Buenos Aires,08.10.18,C,E,M,I,NF
JOJ 2018,Buenos Aires,07.10.18,C,S,M,I,NF
JOJ 2018,Buenos Aires,07.10.18,C,F,F,I,NF
Championnats du Monde,Wuxi,26.07.18,S,F,M,T,CHM
Championnats du monde,Wuxi,26.07.18,S,S,F,T,CHM
Championnats du Monde,Wuxi,25.07.18,S,F,F,T,CHM
Championnats du Monde,Wuxi,25.07.18,S,E,M,T,CHM
Championnats du Monde,Wuxi,24.07.18,S,E,F,T,CHM
Championnats du Monde,Wuxi,24.07.18,S,S,M,T,CHM
Championnats du Monde,Wuxi,21.07.18,S,F,M,I,CHM
Championnats du Monde,Wuxi,21.07.18,S,S,F,I,CHM
Championnats du Monde,Wuxi,20.07.18,S,F,F,I,CHM
Championnats du Monde,Wuxi,20.07.18,S,E,M,I,CHM
Championnats du Monde,Wuxi,19.07.18,S,E,F,I,CHM
Championnats du Monde,Wuxi,19.07.18,S,S,M,I,CHM
Championnats Asiatiques par equipe,Bangkok,22.06.18,S,S,M,T,CHZ
Championnats Asiatiques par equipe,Bangkok,22.06.18,S,E,F,T,CHZ
Championnats Asiatiques par equipe,Bangkok,21.06.18,S,F,F,T,CHZ
Championnats Asiatiques par equipe,Bangkok,21.06.18,S,E,M,T,CHZ
Championnats d'Europe par equipe,Novi Sad,21.06.18,S,S,M,T,CHZ
Championnats d'Europe par equipe,Novi Sad,21.06.18,S,E,F,T,CHZ
Championnats Panaméricains par equipe,La Havane,20.06.18,S,S,M,T,CHZ
Championnats d'Europe par equipe,Novi Sad,20.06.18,S,E,M,T,CHZ
Championnats Asiatiques par equipe,Bangkok,20.06.18,S,S,F,T,CHZ
Championnats Asiatiques par equipe,Bangkok,20.06.18,S,F,M,T,CHZ
Championnats Panaméricains par equipe,La Havane,20.06.18,S,F,F,T,CHZ
Championnats d'Europe par equipe,Novi Sad,20.06.18,S,F,F,T,CHZ
Championnats Asiatiques,Bangkok,19.06.18,S,E,F,I,CHZ
Championnats d'Europe par equipe,Novi Sad,19.06.18,S,S,F,T,CHZ
Championnats Panaméricains par equipe,La Havane,19.06.18,S,E,F,T,CHZ
Championnats d'Europe par equipe,Novi Sad,19.06.18,S,F,M,T,CHZ
Championnats Panaméricains par equipe,La Havane,19.06.18,S,F,M,T,CHZ
Championnats Asiatiques,Bangkok,19.06.18,S,S,M,I,CHZ
Championnats Panaméricains par equipe,La Havane,18.06.18,S,E,M,T,CHZ
Championnats Asiatiques,Bangkok,18.06.18,S,E,M,I,CHZ
Championnats Asiatiques,Bangkok,18.06.18,S,E,M,I,CHZ
Championnats d'Europe,Novi Sad,18.06.18,S,S,M,I,CHZ
Championnats d'Europe,Novi Sad,18.06.18,S,E,F,I,CHZ
Championnats Panaméricains par equipe,La Havane,18.06.18,S,S,F,T,CHZ
Championnats Panaméricains,La Havane,17.06.18,S,F,F,I,CHZ
Championnats Asiatiques,Bangkok,17.06.18,S,F,M,I,CHZ
Championnats Panaméricains,La Havane,17.06.18,S,S,M,I,CHZ
Championnats d'Europe,Novi Sad,17.06.18,S,F,F,I,CHZ
Championnats d'Europe,Novi Sad,17.06.18,S,E,M,I,CHZ
Championnats Asiatiques,Bangkok,17.06.18,S,S,F,I,CHZ
Championnats d'Europe,Novi Sad,16.06.18,S,F,M,I,CHZ
Championnats Panaméricains,La Havane,16.06.18,S,E,F,I,CHZ
Championnats Panaméricains,La Havane,16.06.18,S,F,M,I,CHZ
Championnats d'Europe,Novi Sad,16.06.18,S,S,F,I,CHZ
Championnats Panaméricains,La Havane,15.06.18,S,S,F,I,CHZ
Championnats Panaméricains,La Havane,15.06.18,S,E,M,I,CHZ
Championnats d'Afrique par equipe,Tunis,09.06.18,S,E,M,T,CHZ
Championnats d'Afrique par equipe,Tunis,09.06.18,S,F,F,T,CHZ
Championnats d'Afrique par equipe,Tunis,09.06.18,S,S,M,T,CHZ
Championnats d'Afrique par equipe,Tunis,08.06.18,S,E,F,T,CHZ
Championnats d'Afrique par equipe,Tunis,08.06.18,S,F,M,T,CHZ
Championnats d'Afrique par equipe,Tunis,08.06.18,S,S,F,T,CHZ
Championnats d'Afrique,Tunis,07.06.18,S,S,M,I,CHZ
Championnats d'Afrique,Tunis,07.06.18,S,F,F,I,CHZ
Championnats d'Afrique,Tunis,06.06.18,S,S,F,I,CHZ
Championnats d'Afrique,Tunis,06.06.18,S,S,F,I,CHZ
Championnats d'Afrique,Tunis,05.06.18,S,E,F,I,CHZ
Championnats d'Afrique,Tunis,05.06.18,S,F,M,I,CHZ
Coupe du Monde par équipes,Tunis,03.06.18,S,S,F,T,A
Coupe du Monde,Tunis,01.06.18,S,S,F,I,A
Tournoi Satelite,Copenhague,27.05.18,S,F,F,I,SA
Tournoi satellite,Antalya,27.05.18,S,S,F,I,SA
Tournoi Satelite,Copenhague,26.05.18,S,F,M,I,SA
 Epee Grand Prix ,Cali,25.05.18,S,E,M,I,GP
Epee Grand Prix,Cali,25.05.18,S,E,F,I,GP
Coupe du Monde par équipes,Madrid,20.05.18,S,S,M,T,A
Grand Prix,Shanghai,19.05.18,S,F,M,I,GP
