ID, TABLEU, C1_ID, C1_AGE, C1_RANKING, C1_NATIONALITY,C1_HANDNESS, C1_WEAPON, C2_ID, C2_AGE, C2_RANKING, C2_NATIONALITY,C2_HANDNESS, C2_WEAPON, RESULT_C1, RESULT_C2
2019-176, 32,Sergey-KHODOS-13869,32, 22, RUSSIA, Right, Epée ,Laurin-EGGENSCHWILER-5966,34, 538, SWITZERLAND, Right, Epée , V/15,  D/3
2019-176, 32,Kenneth-KNUDSEN-29797,21, 304, DENMARK, Right, Epée ,Luca-SPONGA-22345,27, 412, SWITZERLAND, Right, Epée , D/13,  V/15
2019-176, 32,Adrian-DABIJA-30620,21, 256, ROMANIA, Right, Epée ,Giorgio-GUERRIERO-48312,17, 497, ITALY, Right, Epée , V/15,  D/11
2019-176, 32,Alan-FARDZINOV-31152,23, 149, RUSSIA, Right, Epée ,Vito-CAPUANO-48423,21, 519, ITALY, Right, Epée , V/15,  D/12
2019-176, 32,Anton-GLEBKO-17758,29, 224, RUSSIA, Right, Epée ,Vladimir-TEREKHIN-33550,29, 535, RUSSIA, Right, Epée , V/15,  D/6
2019-176, 32,Nikita-GLAZKOV-22630,26, 43, RUSSIA, Left, Epée ,Oleg-KNYSH-35720,21, 241, RUSSIA, Left, Epée , V/15,  D/11
2019-176, 32,Grabiel-LUGO-30971,22, 65, VENEZUELA, Right, Epée ,Sergey-BIDA-23681,25, 57, RUSSIA, Left, Epée , D/9,  V/15
2019-176, 32,Andrei-TIMOCE-16383,29, 197, ROMANIA, Right, Epée ,Jesus-LIMARDO-28926,22, 87, VENEZUELA, Right, Epée , D/9,  V/15
2019-176, 32,Peter-SZENYI-12056,31, 326, HUNGARY, Right, Epée ,Egor-GUZHIEV-38588,20, 411, RUSSIA, Left, Epée , D/7,  V/15
2019-176, 32,Christian_Schack-LINNEMANN-29817,21, 316, DENMARK, Left, Epée ,Josef-MAHRINGER-32473,21, 118, AUSTRIA, Left, Epée , D/12,  V/15
2019-176, 32,Lucian-CIOVICA-24274,25, 367, ROMANIA, Right, Epée ,Jan-CIPAR-31188,21, 486, SLOVAKIA, Right, Epée , V/15,  D/8
2019-176, 32,Kei-MATHIS-32399,21, 543, SWITZERLAND, Right, Epée ,Vadim-ANOKHIN-22390,27, 34, RUSSIA, Right, Epée , D/7,  V/15
2019-176, 32,Dmitriy-GUSEV-29200,24, 167, RUSSIA, Left, Epée ,Georgiy-BRUEV-35105,21, 48, RUSSIA, Right, Epée , D/10,  V/15
2019-176, 32,Vladimir-CHICHEV-38587,20, 387, RUSSIA, Right, Epée ,Chak_Hin_Nicholas-CHAU-37309,23, 317, HONG KONG, Right, Epée , V/15,  D/11
2019-176, 32,Tatian-BOLBOCEANU-26550,25, 321, ROMANIA, Left, Epée ,Jesus_Andres-LUGONES_RUGGERI-28887,27, 20, ARGENTINA, Right, Foil , D/12,  V/15
2019-176, 32,Mateusz-ANTKIEWICZ-26906,25, 82, POLAND, Right, Epée ,Pavel-SUKHOV-13829,30, 95, RUSSIA, Right, Epée , V/15,  D/7
2019-176, 16,Sergey-KHODOS-13869,32, 22, RUSSIA, Right, Epée ,Luca-SPONGA-22345,27, 412, SWITZERLAND, Right, Epée , V/15,  D/14
2019-176, 16,Adrian-DABIJA-30620,21, 256, ROMANIA, Right, Epée ,Alan-FARDZINOV-31152,23, 149, RUSSIA, Right, Epée , D/12,  V/15
2019-176, 16,Anton-GLEBKO-17758,29, 224, RUSSIA, Right, Epée ,Nikita-GLAZKOV-22630,26, 43, RUSSIA, Left, Epée , V/15,  D/7
2019-176, 16,Sergey-BIDA-23681,25, 57, RUSSIA, Left, Epée ,Jesus-LIMARDO-28926,22, 87, VENEZUELA, Right, Epée , V/15,  D/6
2019-176, 16,Egor-GUZHIEV-38588,20, 411, RUSSIA, Left, Epée ,Josef-MAHRINGER-32473,21, 118, AUSTRIA, Left, Epée , D/5,  V/8
2019-176, 16,Lucian-CIOVICA-24274,25, 367, ROMANIA, Right, Epée ,Vadim-ANOKHIN-22390,27, 34, RUSSIA, Right, Epée , V/13,  D/12
2019-176, 16,Georgiy-BRUEV-35105,21, 48, RUSSIA, Right, Epée ,Vladimir-CHICHEV-38587,20, 387, RUSSIA, Right, Epée , V/15,  D/10
2019-176, 16,Jesus_Andres-LUGONES_RUGGERI-28887,27, 20, ARGENTINA, Right, Foil ,Mateusz-ANTKIEWICZ-26906,25, 82, POLAND, Right, Epée , V/15,  D/12
2019-176, 8,Sergey-KHODOS-13869,32, 22, RUSSIA, Right, Epée ,Alan-FARDZINOV-31152,23, 149, RUSSIA, Right, Epée , V/15,  D/11
2019-176, 8,Anton-GLEBKO-17758,29, 224, RUSSIA, Right, Epée ,Sergey-BIDA-23681,25, 57, RUSSIA, Left, Epée , V/15,  D/12
2019-176, 8,Josef-MAHRINGER-32473,21, 118, AUSTRIA, Left, Epée ,Lucian-CIOVICA-24274,25, 367, ROMANIA, Right, Epée , V/15,  D/10
2019-176, 8,Georgiy-BRUEV-35105,21, 48, RUSSIA, Right, Epée ,Jesus_Andres-LUGONES_RUGGERI-28887,27, 20, ARGENTINA, Right, Foil , D/11,  V/15
2019-176, 4,Sergey-KHODOS-13869,32, 22, RUSSIA, Right, Epée ,Anton-GLEBKO-17758,29, 224, RUSSIA, Right, Epée , V/15,  D/14
2019-176, 4,Josef-MAHRINGER-32473,21, 118, AUSTRIA, Left, Epée ,Jesus_Andres-LUGONES_RUGGERI-28887,27, 20, ARGENTINA, Right, Foil , D/13,  V/15
