ID, TABLEU, C1_ID, C1_AGE, C1_RANKING, C1_NATIONALITY,C1_HANDNESS, C1_WEAPON, C2_ID, C2_AGE, C2_RANKING, C2_NATIONALITY,C2_HANDNESS, C2_WEAPON, RESULT_C1, RESULT_C2
2019-176, 2,Sergey-KHODOS-13869,32, 22, RUSSIA, Right, Epée ,Jesus_Andres-LUGONES_RUGGERI-28887,27, 20, ARGENTINA, Right, Foil , V/15,  D/13
2019-1317, 32,Giovanni-REPETTI-12529,30, 127, ITALY, Right, Sabre ,Jakub-OCINSKI-26023,25, 121, POLAND, Right, Sabre , V/15,  D/7
2019-1317, 32,Luke-HAYNES-47392,17, 348, GREAT BRITAIN, Right, Sabre ,Gibran-ZEA-34500,21, 317, MEXICO, Right, Sabre , D/6,  V/15
2019-1317, 32,Oscar-FERNANDEZ_BLANCO-35237,20, 290, SPAIN, Right, Sabre ,Luca-RAMPAZZO-48427,21, 325, ITALY, Right, Sabre , D/13,  V/15
2019-1317, 32,Edward-BARLOY-20556,28, 190, FRANCE, Right, Sabre ,Stefano_Ivan-LUCCHETTI-29223,21, 53, ARGENTINA, Right, Sabre , V/15,  D/9
2019-1317, 32,Arne-DE_RIDDER-35917,18, 123, BELGIUM, Right, Sabre ,Leandre-OLLIVIER-42100,19, 367, FRANCE, Right, Sabre , V/15,  D/12
2019-1317, 32,Alexandros-POLIAKOV-29301,23, 352, GREECE, Right, Sabre ,Alberto-PELLEGRINI-11021,30, 82, ITALY, Right, Sabre , D/9,  V/15
2019-1317, 32,Bertie-HOLDSWORTH-42295,18, 342, GREAT BRITAIN, Right, Sabre ,George-SUDDARDS-37679,21, 327, GREAT BRITAIN, Right, Sabre , D/10,  V/15
2019-1317, 32,Jamie-CRAZE-38719,19, 370, GREAT BRITAIN, Right, Sabre ,James-HONEYBONE-18996,28, 37, GREAT BRITAIN, Right, Sabre , D/8,  V/15
2019-1317, 32,Tamas-GALGOCZY-33859,21, 312, HUNGARY, Right, Sabre ,Nathan-DEMEESTER__BERNAMONT-42221,19, 284, FRANCE, Right, Sabre , V/15,  D/6
2019-1317, 32,Ethan-REN-36309,22, 291, GREAT BRITAIN, Right, Sabre ,Martin-NAGY-34551,20, 287, HUNGARY, Right, Sabre , D/7,  V/15
2019-1317, 32,Alberto-ARPINO-35850,20, 189, ITALY, Right, Sabre ,Jules_Emile-DE_VISSCHER-26203,23, 159, BELGIUM, Right, Sabre , V/15,  D/9
2019-1317, 32,Francesco-DARMIENTO-24278,24, 119, ITALY, Right, Sabre ,Jonathan-WEBB-31056,22, 60, GREAT BRITAIN, Right, Sabre , D/10,  V/15
